Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7198716384523055,0.9487265348434448,634.3438377808989,1360.1511294475656,0.8367932438850403,571.5899315308989,1333.767117275281,0.974446177482605,534.2295763108615,1294.9738120318352,0.9155830144882202,467.74476240636704,1270.143668071161,0.49047738313674927,619.7892526919477,1388.9953476123596,0.7864281535148621,420.6500175561798,980.0209211142322,0.31112074851989746,682.517263576779,1288.9240987827716,0.8908920884132385,951.3805009363296,1012.2802551498128,0.8418277502059937,464.4457367743446,282.1585505910581,0.9897493720054626,724.3901422050562,1267.0015507958801,0.9689654111862183,214.9935627340824,1441.8470564138577,0.2652328908443451,641.2414413623596,513.184142380618,0.7690165638923645,338.48343867041206,959.8381173923221,0.49649128317832947,983.8216877340824,1001.7630793539327,0.954741358757019,207.44221090823976,988.9428253745318,0.40793871879577637,225.3471003043071,1462.9497308052435,0.3893871605396271,195.027504681648,1475.6441654962548
1,0.7165057711741504,0.9749568700790405,622.2777680243446,1364.5975245786517,0.7813587784767151,585.4983760533709,1361.8687090355807,0.982550859451294,534.9202656835206,1296.5998068820224,0.8740750551223755,461.74932701310865,1262.046172752809,0.6188499331474304,627.2991280430713,1392.698677434457,0.7933985590934753,423.58036341292143,975.8045850889514,0.30134469270706177,698.6392497659176,1299.7738178838952,0.8760747313499451,950.719218164794,1011.3032537453184,0.6662745475769043,441.72335849719104,266.3073867626405,0.98736172914505,719.4625614466293,1267.1061563670412,0.969236433506012,209.56884948501875,1445.2304248595506,0.3060643672943115,743.4941186797753,932.8797255383895,0.776077151298523,355.07315074906364,980.6035668305244,0.4680618941783905,986.6185334737829,1004.5283971207865,0.9492654800415039,208.08842462546818,989.0219013342697,0.2575715184211731,758.5518346207866,1257.638986423221,0.5980755090713501,199.89619908707868,1477.4546465355807
2,0.6722609926672543,0.8916163444519043,498.13984960205994,1240.280313670412,0.5216081738471985,472.5368679775281,1274.302434456929,0.9490606784820557,516.123668656367,1288.245698735955,0.5894529223442078,478.57085381554305,1145.2776070926966,0.4351023733615875,594.503599016854,1211.57032713015,0.8185596466064453,412.39583333333337,964.2727352528091,0.1318085789680481,408.4505939840824,956.3986423220974,0.8876593112945557,948.2661809456929,1015.0089243913858,0.8136205673217773,464.9049040262173,286.94182320926967,0.8903632760047913,720.8691772003747,1281.0242567883895,0.9795434474945068,214.77608555711618,1440.9335498595506,0.4308914840221405,752.9349543539327,966.6058052434457,0.7537415027618408,357.1182993913858,985.5518492509364,0.591393232345581,981.0121137640449,1008.2128540496255,0.9283037781715393,213.06984433520597,971.0601006554308,0.39894095063209534,552.1584591526217,935.437734082397,0.4167706072330475,193.1928838951311,1466.7471324906367
3,0.6491096580729765,0.8964212536811829,494.056647940075,1253.5207455524344,0.7017943263053894,471.0220622659176,1283.6645599250937,0.9337831139564514,520.4432935393259,1292.4313845973784,0.3374721109867096,469.12438553370794,1258.6714360955057,0.33489876985549927,598.1429950842697,1213.147823033708,0.7902302742004395,428.2261674859551,972.2727937734082,0.16562801599502563,421.14897881554305,948.5985779494382,0.7956832647323608,948.3418188202247,1016.2646301498128,0.780563235282898,440.95659234550567,287.9526019721442,0.7894766926765442,722.8523671582398,1265.9658824906367,0.9827126264572144,208.73127340823976,1449.4684866573034,0.5061668753623962,658.9285609784645,897.4269955524345,0.8454676866531372,342.06855688202245,965.2316684222847,0.5807652473449707,954.1814431179776,1012.8620230571162,0.9391093254089355,207.9556560159176,983.6739963717229,0.35224345326423645,590.6627457865169,1032.6708069990636,0.3024479150772095,518.7500731507491,983.5910434222847
4,0.645844454274458,0.8453776240348816,495.55696980337086,1246.0745845037454,0.7042604684829712,475.82557935393265,1277.5531074438202,0.9115918278694153,514.7790847378277,1284.2398174157304,0.3290877938270569,573.3454032069288,1086.4909585674159,0.4148012399673462,572.887186914794,1192.2251726357679,0.4493277370929718,458.6767029494382,1016.519926264045,0.3254510164260864,413.6527095037453,945.0343077013109,0.8251706957817078,953.2680828651685,1016.818600772472,0.8223998546600342,450.0487183988764,290.35095900632024,0.9696225523948669,719.4931384597378,1270.301088483146,0.9728888273239136,206.29315894194758,1441.7408415262173,0.30094945430755615,677.1022793773409,859.6222495318352,0.884222149848938,352.40607443820227,964.3908737125469,0.5599318742752075,947.8340063202247,1010.4198852996255,0.955413818359375,210.91592052902627,982.3044680477528,0.5149246454238892,620.3109638342696,1027.1594832631085,0.1939341425895691,550.4354664091761,974.5565601591761
5,0.6502591196228477,0.8486145734786987,503.51569815074913,1245.8093398876406,0.683313250541687,487.097817181648,1272.215150983146,0.9544484615325928,521.1774344569288,1278.8708450374531,0.42214328050613403,475.0543510065544,1256.2226416198503,0.17108169198036194,547.7361306179776,1260.0354049625469,0.6343815326690674,447.87255676498125,998.7553400046817,0.16115039587020874,423.72227586610495,952.0238617743446,0.8400503993034363,721.1369089419477,843.1745962078652,0.9482184648513794,440.33342111423224,293.46088995201313,0.9049830436706543,715.0487915496255,1267.105863764045,0.9692590236663818,209.50835381554305,1448.9238061797753,0.4662818908691406,687.9214946161048,873.3080963249064,0.9048964977264404,344.51632724719104,975.9978493679776,0.5362659096717834,951.3412921348315,1010.1561036985019,0.9409944415092468,209.82429190074913,982.4296289794008,0.2640780508518219,731.045543656367,1270.858350889513,0.4042441248893738,476.80762816011236,997.7638547518727
6,0.6446082364110386,0.8179035186767578,495.5154201779027,1214.9348226825844,0.5063574910163879,483.8460469335206,1270.0016093164795,0.9360659122467041,525.1018989934457,1276.415320692884,0.5241872668266296,469.40521125936334,1256.724309456929,0.1488167941570282,556.9040408473783,1253.8829880617977,0.5167297720909119,459.9099514279027,996.4883982911986,0.17458364367485046,442.2512143024345,976.4935919943821,0.8332640528678894,699.9553780430713,755.5522881554307,0.9109067320823669,445.50730044475654,292.3477732911985,0.9856406450271606,713.6909673455057,1275.0087780898878,0.9821923971176147,200.85915554775283,1448.9135650749065,0.43851783871650696,685.4810393258426,870.825945107678,0.7398026585578918,355.81211961610495,983.6151831694757,0.5323204398155212,946.6889044943821,1013.9807174625469,0.9623080492019653,211.22205641385767,985.513445107678,0.3904392123222351,581.8149432350187,979.9690572331461,0.5583035945892334,188.8602747542135,1481.7965823970037
7,0.6673085268806008,0.8866551518440247,511.95107677902627,1231.0933110955057,0.6885660886764526,491.8423016151686,1304.5514396067417,0.9673893451690674,550.0373800327716,1306.1554892322097,0.40854352712631226,456.90872249531833,1159.3218194054307,0.23747754096984863,571.7782215589888,1216.5143668071162,0.6043245792388916,452.3122951779027,1004.2016327247192,0.09667450189590454,471.5246079119851,-56.21362579002809,0.8596243858337402,952.5958274812735,1019.8680360486892,0.8276221752166748,441.70572916666674,290.9459854868914,0.9937360882759094,726.216643258427,1263.7290788857679,0.9909218549728394,200.21813553370794,1466.8829002808989,0.4761520326137543,677.9419768258426,883.5464214653558,0.8110157251358032,332.82895891853934,960.5447536282771,0.46543392539024353,971.6744206460676,1011.1807262406368,0.95899498462677,206.5381408005618,988.9340472846442,0.6352046728134155,551.4539442883895,962.3290466994382,0.43590837717056274,492.2921055711611,968.7631671348315
8,0.6498563955811893,0.870148777961731,503.9359492041199,1257.2507022471912,0.5822913646697998,498.47612359550567,1269.0834211142324,0.9146634936332703,551.527972846442,1307.5517907303372,0.4639720320701599,459.8290466994382,1255.4188611891386,0.335792601108551,584.2374765917604,1232.3340941011236,0.660830020904541,453.6430536048689,1004.4909439372659,0.2071053385734558,414.36848958333337,972.1284673455057,0.8399681448936462,955.2955290262173,1019.3891180945693,0.8788297176361084,432.41909527153564,293.031056150515,0.9743407964706421,723.7279084737829,1264.8076135299625,0.9935029149055481,197.4372366573034,1456.3778675093633,0.45739084482192993,691.5913213951312,862.7465911750936,0.657722532749176,356.771564840824,950.6646477059926,0.4922254979610443,975.9889981273409,1005.7308491338952,0.9494686126708984,210.3912833567416,983.111174508427,0.48822179436683655,561.4677697799626,948.3072185159176,0.28108423948287964,443.1383865870787,916.8684164325844
9,0.6979716157211977,0.9288631677627563,502.8250087780899,1257.135855571161,0.7387787103652954,563.3716643258427,1344.1878803838952,0.9805664420127869,557.2435334737828,1311.2018668071162,0.6964126229286194,452.72976650280907,1266.7547401685395,0.27032557129859924,599.5322009597379,1232.0965004681648,0.7105029225349426,447.85426907771534,1010.2054804541199,0.44591087102890015,406.73879330524346,963.7389542368915,0.8120361566543579,957.1750643726593,1018.5039208801498,0.862932562828064,412.1282478932585,288.65044183052436,0.945060133934021,723.6008456226591,1263.9249765917602,0.9883834719657898,196.57552083333337,1453.9865695224719,0.4581046402454376,685.382651568352,866.4674771769663,0.8011910915374756,354.66613998127343,943.6071365870787,0.5462112426757812,982.7871898408241,1007.7638547518727,0.9254927635192871,207.0987681413858,987.2970798220974,0.45677316188812256,564.957426264045,964.0276802434457,0.2979719340801239,429.8364349250936,927.5595447097379
