Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6655424465151394,0.7265018224716187,512.510314255618,1272.160873127341,0.9176760911941528,474.60725362827714,1347.7713892790262,0.8143574595451355,570.0693469101124,1332.9276392790262,0.9497578740119934,353.81093457397003,1358.4437909644196,0.7741705775260925,596.9167690777153,1327.4710323033707,0.4980798363685608,352.96757958801504,1235.9396945224719,0.6425180435180664,260.3797986891386,-20.731038868650515,0.4483620226383209,153.4566654962547,635.4363442181648,0.9920781850814819,166.77423484316478,625.597349016854,0.8294767141342163,853.1216350655432,806.7841467696629,0.9921503067016602,161.7066069756554,287.75624707397003,0.28405529260635376,394.11107209737827,945.4111072097379,0.4654390513896942,259.49423572097385,298.8187799918071,0.7524662613868713,754.3087985720974,691.6824672284645,0.5964226722717285,776.7192620552435,691.4068352059925,0.24308836460113525,386.1412248361423,298.2507461376405,0.3876210153102875,547.5174098782771,841.4152475421348
1,0.6115985793225905,0.7555066347122192,492.9030606273409,1251.7614700374531,0.9204907417297363,460.2199643024345,1346.9683403558054,0.909621000289917,558.9659410112359,1324.4523934925094,0.9793928861618042,369.5476357677903,1353.6342755149813,0.7289970517158508,593.1237564372659,1323.1302668539327,0.4722427725791931,356.33302610018734,1248.4781718164795,0.533041775226593,611.989919826779,1195.106653792135,0.3928447961807251,676.7580319522472,1028.5562236657304,0.9830148816108704,167.97789384363296,627.2449964887641,0.7683827877044678,747.1319785814608,796.3739173689139,0.9940220713615417,159.40049303604872,285.64476898993445,0.19395315647125244,258.4167251872659,265.0312719452247,0.8431963920593262,272.9249327013109,318.979766502809,0.2714031934738159,336.59600304307116,600.2783751755618,0.43837130069732666,313.091643258427,705.6581372893259,0.09447291493415833,333.3000497425094,888.1813260767791,0.11822149157524109,538.3677873361423,854.5727996254682
2,0.6050585929085227,0.8687866926193237,494.58267497659176,1247.8928195224719,0.9183915853500366,467.1106917134832,1340.0639337546818,0.9399998784065247,554.0185363998128,1322.2354868913858,0.9758719205856323,340.2186475889513,1346.0428370786517,0.8766040802001953,376.6457455524345,1322.8211317883895,0.1918804943561554,340.1708801498128,1196.0851182116105,0.4861040413379669,628.462883309925,1226.938055945693,0.5042548775672913,153.32338483146066,636.5979049625469,0.9921160340309143,165.67616894897003,628.1505296114233,0.840491533279419,736.5089536516855,808.0314401919476,0.9912793636322021,159.36863588483152,286.3381100772472,0.2180381417274475,265.75871956928836,286.8497264161985,0.8696123361587524,265.39720856741576,327.26957514044943,0.0863916277885437,347.06731331928836,49.12548736686564,0.31104207038879395,263.8927902621723,715.5323911516854,0.09823036193847656,174.5987681413858,301.9331548455056,0.11690104007720947,171.2491587663858,277.9548147823034
3,0.5961674557012671,0.7639243602752686,524.0932964653558,1288.1431413857679,0.9194129109382629,470.7211200842697,1329.2240168539327,0.9073373079299927,558.3692503511236,1323.360399110487,0.9655126929283142,340.990314840824,1339.7234901685395,0.9555934071540833,374.8329236891386,1327.0559749531835,0.1416892111301422,376.2323706694757,1128.1105893024344,0.4609825015068054,619.605790613296,1205.252735838015,0.9545683860778809,685.5637728230338,1027.3147823033707,0.97832190990448,157.79830875468167,638.7231536750936,0.9699079990386963,723.8944727294008,741.8011177434457,0.9941728711128235,155.5131159293071,282.09829266151684,0.10017824172973633,335.28543422284645,874.4905781835206,0.433031290769577,256.7705407303371,306.3985508836611,0.10558947920799255,279.30470213014985,1002.529918656367,0.31640326976776123,184.0887611189139,1004.2479371488764,0.0884665846824646,713.044461025281,728.774066596442,0.07975432276725769,169.1718237944757,277.242033883427
4,0.6080437022096971,0.8383705615997314,516.7115812265918,1295.2194522471912,0.9597882628440857,462.1977411048689,1330.244762406367,0.8850589990615845,542.9782595973783,1330.2787043539327,0.96535325050354,343.0248566245318,1342.9296875,0.9211589097976685,375.22464595037457,1324.8719861891386,0.17288976907730103,366.681955173221,-29.96674612666784,0.47244828939437866,632.3371664325844,1081.0522003745318,0.9913309216499329,691.324540613296,1023.2636938202247,0.9956467747688293,163.2922591877341,638.5884099953183,0.9491848349571228,723.1310715121724,736.8239407771536,0.9968688488006592,155.67232853464418,280.8060115285581,0.11967921257019043,266.83571804775283,297.55788053019666,0.3718804121017456,278.8989349250936,370.41688611891385,0.22323408722877502,345.2781922986892,84.34855600421349,0.2990700602531433,165.31824233380155,620.8974133895131,0.09319621324539185,730.019384948502,741.4070546582398,0.08158352971076965,714.5989144428838,729.3465443586142
5,0.6635292786009171,0.8509975671768188,513.5854108146068,1297.2741104868915,0.9188015460968018,450.73399461610495,1356.0233789794008,0.8949344158172607,539.3916783707865,1327.144926264045,0.9409584999084473,348.69118679775283,1334.2837078651685,0.9550726413726807,371.0726825842697,1326.3230044475656,0.17850181460380554,566.5295090121723,1053.3678604868915,0.5379337668418884,598.9836434925094,1234.3992860486892,0.9896174669265747,709.2295031601125,1022.2084211142322,0.9875404238700867,161.00644458099248,643.8955699906368,0.8089718222618103,156.82127077481277,283.3536326661985,0.9957478046417236,154.47667954119856,286.0167405489232,0.30833396315574646,316.92035346441946,296.87190938085206,0.7495795488357544,254.71251755617982,309.4270101825843,0.21084743738174438,171.45255442415737,630.992655664794,0.3995905816555023,284.6132519897004,697.4182174625469,0.383115291595459,671.5826164559926,732.4975128745318,0.16945314407348633,726.7742714185395,743.9390946863297
6,0.6281502474756802,0.9245730042457581,505.0431589419476,1293.8851825842696,0.9464520215988159,465.63728932584274,1346.5297284644196,0.9618772268295288,550.7071482911986,1337.0492450842696,0.9628340005874634,343.9238793305244,1329.9726416198503,0.9318310618400574,378.63010592228466,1330.522735252809,0.2578083872795105,313.59031191479403,1203.9117363061798,0.6494172215461731,629.3156015917602,1067.8716058052435,0.9908779859542847,693.9442152387642,1030.3617304541199,0.9896576404571533,154.56767907303367,643.6140859082398,0.7614786624908447,159.01440338249063,283.8077525163858,0.9970539808273315,150.81884948501875,282.84655167368913,0.11538371443748474,633.4590063202247,922.1092286985019,0.11195969581604004,252.60431296816478,305.1052273525281,0.14175045490264893,173.11673396535582,641.8654904026217,0.6251171231269836,171.65364583333337,626.1748010299626,0.09628951549530029,166.10841672518734,296.722736715824,0.21419250965118408,169.011879681648,852.2499707397004
7,0.6602856674615074,0.7973144054412842,522.5979488529963,1285.2367158239701,0.9346994161605835,452.8966233614233,1364.0219744850187,0.9390543699264526,558.2204617275281,1333.3934632490636,0.9280930757522583,352.2066654962547,1343.837341994382,0.874801754951477,379.9189489700375,1326.7872191011236,0.18825942277908325,292.89940308988764,1204.8807642790262,0.5278779864311218,629.5422957631085,1071.07890039794,0.9854539036750793,679.3814372659176,1029.4835557116105,0.9453874230384827,154.32851269897003,645.9959474485019,0.907075047492981,713.9684281367042,744.5172782069288,0.9961994290351868,151.1984287219101,277.4144867743446,0.4738677442073822,271.55650163857683,296.4997732326779,0.8159511685371399,266.9047723548689,308.18249648876406,0.050196290016174316,347.80752574906364,97.94732597436798,0.4291452169418335,150.78026246488764,633.9831314372659,0.1640593707561493,734.3178692649813,751.1153294709738,0.26742032170295715,165.37248361423224,834.1575228230338
8,0.6034541270312141,0.88475501537323,537.4521594101124,1279.900076076779,0.9459375143051147,508.8079353932585,1329.8158064138577,0.879378616809845,575.9321599953183,1343.1447507022472,0.9020785093307495,357.66627165262173,1337.052902621723,0.9288544654846191,387.0696541432585,1331.5493328651685,0.25235557556152344,301.0770716292135,1198.1871781367042,0.5152378082275391,622.218442766854,1230.0756378745318,0.9584184885025024,696.6160463483147,1028.0939840823971,0.9601236581802368,154.13971061563677,628.8806472378277,0.9409748315811157,722.0080612125469,790.8666169241574,0.9882523417472839,145.85816801264048,271.31931033473785,0.3847344219684601,627.4858819054307,954.0363851825844,0.24664515256881714,260.4389776451311,294.3477696336611,0.039348602294921875,177.61930887172286,635.1743182350187,0.20788520574569702,168.35041403323976,620.1675883661048,0.11861112713813782,161.9111364700375,293.18330114700376,0.10512882471084595,156.07048806179773,274.380157127809
9,0.6934425094548393,0.9132156372070312,537.5193117977528,1288.6038448033707,0.9844905138015747,504.8745464653558,1335.821482911985,0.8810373544692993,567.9823560393259,1345.897120786517,0.9661910533905029,356.01796582397003,1351.668275983146,0.7949061393737793,398.3661780196629,1327.8395657771537,0.4204634428024292,351.77463717228466,1239.6248829588014,0.5426809787750244,612.5321863295881,1244.286487593633,0.4852432310581207,157.20439782303367,654.9238500702247,0.9347865581512451,201.1597319756554,1034.6986920646068,0.7144861221313477,141.67672489466293,279.10660990168543,0.988927960395813,140.9418524695693,273.57875409644197,0.7218097448348999,655.59844627809,995.8836610486892,0.5098272562026978,659.5539267322097,1015.4870376872659,0.71927809715271,751.2824057818352,671.8251843398876,0.69075608253479,781.2306882022472,688.7211054541199,0.29839688539505005,374.96174215823976,205.6854225187266,0.22202560305595398,146.82979283707868,272.61400544241576
