Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.667861686033361,0.8517323136329651,526.846324906367,1329.562265917603,0.7501367330551147,519.5837722378277,1367.4028558052435,0.9024447798728943,509.62166432584274,1342.1790145131088,0.8547844886779785,383.8547518726592,1342.5279435861423,0.6140748262405396,529.1295060861423,1311.2305419007491,0.5598533749580383,378.158210440075,1161.2554863061798,0.8902469873428345,583.8376345973783,1271.6379915730338,0.2241085171699524,844.4389337546818,955.9516912453183,0.9933408498764038,163.8895716292135,646.4593574438203,0.8258959054946899,692.8681677200375,1282.401100187266,0.9948611259460449,164.23718398876406,321.0396184456929,0.9052944183349609,631.6011235955057,1074.5007461376406,0.16781491041183472,529.6795265683521,1047.5198238529963,0.33392030000686646,560.9306969803371,785.6665496254682,0.9702529907226562,872.6284527153559,944.5316889044944,0.36135590076446533,710.2667076310861,1259.324525983146,0.15353024005889893,601.9346178604869,1216.5596471207866
1,0.7314073215512669,0.8922597169876099,527.6250146301498,1272.6255266853932,0.8696484565734863,477.21288330992513,1311.6723724250937,0.9092299938201904,523.6464185393259,1343.1116865636704,0.9558653831481934,384.1921231273409,1303.2054658239701,0.7433881759643555,548.4252838249064,1315.138986423221,0.5875508189201355,399.8847144194757,1201.7018521769664,0.877988338470459,602.6067269428839,1355.5888635299625,0.6634584665298462,160.6606609901686,671.8526890215356,0.9834635853767395,175.7275939255618,654.3652709503746,0.8757697343826294,692.8307145365168,1281.7878043071162,0.9928679466247559,168.01878511235952,322.3599894662921,0.8205708265304565,652.2779143258426,1056.6432584269664,0.32210439443588257,561.7318439840824,1067.5462312734082,0.3802858591079712,580.5182730571162,781.7022179307116,0.9827802181243896,872.8749707397005,943.1236832865169,0.3846522569656372,628.4601035814608,1310.7595973782772,0.19204029440879822,574.650632022472,1224.6880852059926
2,0.696262166780584,0.7695225477218628,503.4359638342697,1309.6810627340824,0.9337330460548401,518.5495669475656,1367.6740987827716,0.9114019870758057,511.4293656367041,1352.14609667603,0.8202022314071655,454.474923923221,1353.600479868914,0.9067520499229431,519.6030108848315,1318.9150280898878,0.7118638157844543,360.2258163623595,1187.899841994382,0.7204692959785461,410.0277972846442,1156.7562763342696,0.21298906207084656,170.77152095037457,670.3726299157304,0.9856138229370117,178.28871137640454,660.6631115402622,0.891704797744751,689.1684954353932,1284.301410346442,0.9931445717811584,167.91798338014985,323.26647354868913,0.8364579677581787,642.2730132256554,1068.6124034410113,0.3854701519012451,541.569376170412,1073.4474485018727,0.26382753252983093,859.0374824438202,966.2895014044944,0.9821811318397522,874.3934339887642,943.7734082397004,0.41938602924346924,697.7328388342696,1278.6015039794008,0.0917367935180664,557.240387991573,1276.9798981741574
3,0.7246606472660514,0.7315332293510437,504.06008602528095,1308.8765507958801,0.7243484258651733,525.0385504447565,1368.6010650749065,0.79905104637146,512.69765332397,1345.659234550562,0.8319932222366333,431.5096851591761,1355.6309983614233,0.8878603577613831,536.670543656367,1346.0261587078653,0.6978986263275146,312.8386879681648,1097.0648261938202,0.8289285898208618,603.6250585205993,1351.6676907771537,0.7994610667228699,168.49967813670412,676.0366924157304,0.9601868391036987,173.06132227294006,662.9333450374533,0.8614881038665771,686.666959269663,1284.7937148876406,0.9863241314888,170.1459357443821,325.47379740168543,0.8588192462921143,650.1232590121724,1062.6109696863296,0.3776051104068756,563.7238120318352,1066.9506378745318,0.38959425687789917,585.0162394662922,800.069932116105,0.977859377861023,869.6670177902622,944.9596939372659,0.47053465247154236,647.5134597378278,1304.7733789794008,0.13574472069740295,588.1290964419476,1245.0026334269664
4,0.708342054310967,0.7489913702011108,500.80158590823976,1303.7858438670412,0.9105079174041748,532.201252340824,1351.44999414794,0.8741792440414429,522.9551439606741,1334.286341292135,0.7345976829528809,375.55031308520597,1366.2802844101125,0.7196096181869507,519.4737535112359,1277.9528031367042,0.5099311470985413,291.57288740636704,1103.3911955758426,0.6063417196273804,572.2142000234082,1280.7227294007491,0.7809274196624756,164.33644955524346,669.5456606975656,0.9788249135017395,167.65932233146066,655.9962400514981,0.8683977127075195,621.5605249297753,1344.7618211610488,0.9920262098312378,170.5480088366105,325.47665028089887,0.8749138116836548,636.964682818352,1064.9130969101125,0.30101555585861206,566.3746488764045,1053.8932291666667,0.55850750207901,594.1236540262173,797.9111803604869,0.970870852470398,872.1102528089889,949.3827539794008,0.4885285794734955,628.6116719335207,1297.3318995786517,0.1236436665058136,507.9789911048689,1236.6872951779026
5,0.7213266754851622,0.7656136751174927,506.68941654962555,1318.8230044475656,0.955284059047699,520.7276305009364,1370.474455758427,0.9265406131744385,517.9436592930712,1359.4724367977528,0.7417759895324707,382.76005091292143,1359.0941011235955,0.7441967129707336,534.0941011235956,1316.4413623595506,0.5725821852684021,333.95796757958806,1152.9714565777153,0.8813662528991699,573.195005266854,1270.4005735018727,0.6861168742179871,165.625,669.4017000234082,0.9656063318252563,178.09716613998125,651.2386616338952,0.8628256320953369,628.3275544241574,1348.8600187265918,0.9871621131896973,169.1958903909176,325.89401187968167,0.877468466758728,645.3773115636704,1067.8125731507491,0.461666464805603,568.3759070692885,1071.9449321161048,0.343220055103302,868.1162219101125,961.5586961610487,0.9728465676307678,870.5356097846443,949.1322858146068,0.4185904264450073,633.3623010299625,1307.6145540730338,0.09969106316566467,563.0726240636704,1265.868445692884
6,0.7233640516505522,0.6181877255439758,459.75684691011236,1201.602659761236,0.8836841583251953,515.1684661750936,1357.702188670412,0.931815505027771,510.836332514045,1347.3605746722847,0.7063842415809631,388.43669534176036,1348.178985252809,0.9119783639907837,528.7576076779027,1305.9854868913858,0.7831853628158569,358.45242275280907,1168.9843018492509,0.7308828234672546,400.1719042602997,1151.7401831694756,0.3030792474746704,157.81860808754686,661.4246839887641,0.9925652742385864,165.24779816245325,654.2227001404494,0.908034086227417,665.0935598080525,1324.033678604869,0.989233136177063,167.39839360955057,325.74438202247194,0.946303129196167,646.0279874765918,1073.8404143258426,0.6880767345428467,550.6378013810862,1084.1163389513108,0.3791956305503845,881.6807116104869,951.9893346207865,0.9647731781005859,876.2217638108614,940.5676498127341,0.4307061731815338,701.483204588015,1273.1465063202247,0.1291041076183319,594.4594891151686,1254.016707631086
7,0.7332803887479445,0.8244677782058716,508.0280021067416,1387.2313904494383,0.8808184862136841,553.2660346441947,1345.3579997659176,0.9618165493011475,520.1822916666667,1399.396798923221,0.7438437938690186,475.0589595037453,1243.359375,0.6194236278533936,559.4101855102997,1400.033356741573,0.781894326210022,343.14628686797755,1175.581475304307,0.4766016900539398,613.1296816479401,1348.9172226123596,0.20024919509887695,665.0956811797753,962.5392088014981,0.9827547073364258,163.4818659293071,662.6265507958801,0.9771940112113953,673.2905401451312,1274.3757315074906,0.9953683018684387,166.25120698735952,330.7587195692884,0.9347590208053589,652.9040847378278,1085.4682379447565,0.42406198382377625,553.9690133426967,1084.1009772940076,0.4070320129394531,877.7548572097378,937.2044709737828,0.9310258626937866,880.3678019662923,935.8829295411986,0.8956490755081177,687.7811183286517,1277.9772354868915,0.4288061857223511,592.941099016854,1244.3600772471912
8,0.6750861862126518,0.6740196943283081,553.0536780196629,1218.1161487593633,0.8660166263580322,504.3518843632959,1325.9045821629213,0.9050923585891724,519.5659234550562,1322.1216643258426,0.541252076625824,477.3706694756555,1247.836493445693,0.6222726106643677,508.5853376638577,1308.0269779962548,0.570358395576477,357.04675795880155,1167.0774812734082,0.7381809949874878,455.64182467228466,1153.3205319522472,0.2928037643432617,697.5495230571162,1029.6572155898878,0.9826720952987671,173.65976855102997,659.8145628511236,0.905308723449707,619.868987008427,1321.116573033708,0.991720974445343,168.4291608146068,324.30038623595505,0.9457044005393982,660.5992509363296,1066.926498127341,0.18705081939697266,552.1662131320224,1081.0957982209738,0.3764413595199585,873.7979868913858,917.0407595973783,0.7680402994155884,893.6082338483147,918.2917105571162,0.8786482810974121,705.6165145131085,1248.2772998595506,0.2308816909790039,674.7646740402622,1243.0379506086142
9,0.5945745987050673,0.6320263147354126,440.10160639044943,1324.9824438202247,0.9236264824867249,439.2194083567416,1360.6851299157304,0.7415344715118408,434.3350596910112,1352.808988764045,0.6763594150543213,389.28224485018734,1335.5881320224719,0.6878992915153503,534.9050503277153,1279.6955465823971,0.5477139949798584,324.33864407771534,1152.849148525281,0.3715406358242035,582.2152241338952,1340.5654552902622,0.24872750043869019,152.64513108614233,679.6992772705993,0.9633420705795288,167.0165466994382,666.9839214653558,0.8104310035705566,684.4014805711611,1217.368987008427,0.9896639585494995,168.44946014747188,323.4468632958802,0.6677578687667847,661.6362359550562,1046.2378569756554,0.6019484996795654,554.9904172518727,1083.9324379681648,0.22883018851280212,455.9605424859551,1428.275397940075,0.20829761028289795,847.1101065074906,906.107575491573,0.6597696542739868,714.4365197799625,1207.8842608848315,0.1482992172241211,660.3293246722847,1234.920558286517
