Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6730033211848315,0.8538401126861572,546.5753013810862,1312.729547050562,0.9338873624801636,481.0978464419476,1382.712429775281,0.9754570722579956,605.993826076779,1364.6199087078653,0.933307409286499,429.2023642322098,1340.6116865636704,0.5769293308258057,444.176176264045,1303.6054541198503,0.8414449095726013,377.1115695224719,1158.9111511001872,0.38013508915901184,652.7119908707866,1135.1857297518727,0.5194959044456482,793.1193673923221,696.13515332397,0.9942449331283569,248.3891473548689,633.5857765683521,0.9998142719268799,726.7649081226591,849.0977586610487,0.9065588116645813,259.12160580524346,298.9212824789326,0.33610615134239197,651.2026714653559,810.3610720973783,0.27739256620407104,493.4173103932585,955.5717462546817,0.9003915190696716,671.7714185393259,704.9084152621723,0.7093895673751831,599.8376784878277,171.61582689606743,0.14065122604370117,759.7174918071162,873.7353698501873,0.16201022267341614,771.0356683052435,856.9618299391386
1,0.685669027707156,0.8577264547348022,550.1905577013109,1319.8177083333335,0.8978341221809387,480.1411077949439,1379.9564021535582,0.9770052433013916,610.7841760299625,1360.7413096910113,0.9496034979820251,421.17714185393265,1342.4909293071162,0.6137810349464417,445.8576925327716,1299.720856741573,0.875269889831543,401.67529845505624,1156.986408590824,0.3182879686355591,658.3096324906367,1136.319858965356,0.4379265606403351,795.1710996020599,698.9494089419476,0.9950766563415527,252.93407654494388,633.8551907771536,0.9997701644897461,733.3285785346443,850.8587166432585,0.9244044423103333,257.80459971910113,298.0615417251873,0.2895660102367401,493.20868445692884,974.6828183520599,0.45125237107276917,483.78438085205994,949.9288974719101,0.8455948829650879,657.9023291198503,710.101094335206,0.6795678734779358,593.0165905898876,170.66651305009364,0.23607677221298218,747.5563992275281,880.4703593164794,0.3076295256614685,742.9085469335207,837.1766736891386
2,0.6523628585478839,0.8708148002624512,553.909614934457,1313.1241221910113,0.859920859336853,481.0587839419476,1383.0966175093633,0.9741101264953613,614.7941537921349,1360.0904143258426,0.9603193998336792,421.1034058988764,1335.0538389513108,0.621680498123169,493.97303663389516,1326.5529904026218,0.6957659721374512,430.4379535346442,1238.0195166198503,0.33342254161834717,636.1496371722847,1141.95078417603,0.497312068939209,780.0416227762173,702.4145599250936,0.9925709962844849,245.79010124063677,632.9283707865169,0.9997936487197876,724.2361598782772,852.0752867509364,0.9222587943077087,256.1279113998128,296.1262837956461,0.19558686017990112,602.4817854634832,766.634772940075,0.24548283219337463,468.738442181648,947.3604283707865,0.7950839996337891,670.3508309925094,709.5597787921348,0.6993904113769531,581.6777124297753,162.30761352996257,0.14361748099327087,561.4039823267791,120.20076223080525,0.28303730487823486,766.4131261704119,841.4767673220974
3,0.6568400386501762,0.92829829454422,557.7878481975656,1315.129623127341,0.8696654438972473,476.33053897471916,1384.7407537453184,0.9827175140380859,615.6691830524344,1362.3850070224719,0.9313527941703796,429.16578885767797,1341.2059632490636,0.502156674861908,448.4281367041199,1296.9649754213483,0.798865020275116,434.73534058988764,1240.0174098782772,0.3942924439907074,659.6357824204119,1108.0453388342696,0.33045873045921326,776.2984989466293,695.6800093632959,0.9933555126190186,246.89636001872657,627.5721997893259,0.9994983673095703,727.0848694990636,853.3129242743446,0.9084448218345642,259.28385416666674,301.1929607034176,0.17078399658203125,637.4640829822097,778.4617128979401,0.11363652348518372,492.41434047284645,920.9485457631087,0.6949769258499146,671.7318439840824,716.9689987125469,0.6582828760147095,422.56671348314615,164.78738734784645,0.25828665494918823,759.3206489934457,872.2917398174158,0.631208062171936,757.6074584503747,839.2689314138577
4,0.6256674685898949,0.9316102266311646,556.6964390215356,1317.3741807116105,0.9150205850601196,503.8306852762173,1374.904757724719,0.9789162874221802,616.2626550795881,1363.0290262172284,0.8434116840362549,438.8940338249064,1341.6995845037454,0.38205844163894653,453.02683169475654,1299.519838483146,0.8420212864875793,438.21921816479403,1242.3182935393259,0.34301745891571045,668.8396096676031,1118.2970505617977,0.5803869962692261,787.7051878511236,703.195005266854,0.9892838001251221,252.64161985018734,631.5225596910112,0.9998078346252441,725.2841906601125,854.5091584737828,0.883644700050354,261.3584825608615,301.843709767088,0.17146512866020203,630.7787628745318,781.7627136001873,0.2226250171661377,498.5854108146068,927.7152095037453,0.8108218312263489,676.3173718398878,713.0756963951311,0.46239328384399414,818.816567181648,686.4020804073034,0.11465957760810852,631.0287189840824,465.68169183052436,0.16520282626152039,762.1976679541199,837.8866748595506
5,0.6895412136526669,0.8499266505241394,551.5848109784645,1313.9542368913858,0.9594093561172485,479.011879681648,1381.8948970037454,0.9419862031936646,618.130705758427,1364.0821044007491,0.9234815835952759,459.93833391853934,1365.121722846442,0.49827468395233154,453.59711493445695,1317.7694873595506,0.8102515935897827,435.2394955524345,1241.3240285580525,0.4245486259460449,655.2082601825844,1150.520613881086,0.7909473776817322,802.5107531601125,695.4977908473783,0.9928471446037292,256.24956109550567,630.6267556179776,0.9998416900634766,721.193673923221,859.1924888810862,0.9309653043746948,259.1812968164794,299.91029889396066,0.2736002206802368,492.1718457397004,972.8183520599251,0.3135712742805481,516.3474367977528,935.2012377106741,0.8730241060256958,812.2681121254682,708.3413067649813,0.7920657396316528,431.734770014045,151.25522113471442,0.13451126217842102,602.3453593164794,482.4276173338015,0.212947815656662,407.2467521067416,133.0629315894195
6,0.6616594142773572,0.8141010999679565,552.1802580758427,1318.1533824906367,0.9730604290962219,473.7538038389513,1382.699847846442,0.9550085067749023,613.3387464887642,1364.8013225655432,0.904267430305481,459.0541608146068,1361.309691011236,0.41163086891174316,452.8704353932585,1297.6426439606741,0.8779352307319641,400.5686007724719,1154.8521623361423,0.37940165400505066,673.624692766854,1143.1038594335207,0.6158635020256042,809.1742743445693,691.7652007256554,0.9953346252441406,247.6219422986892,632.2373888108615,0.9998367428779602,721.0181852762173,857.5939255617977,0.8974311351776123,261.4660141619851,298.67242363061797,0.23979783058166504,639.4285463483147,823.5380822799626,0.4254379868507385,498.9295850889514,947.2040320692885,0.8724136352539062,813.1446044007491,695.76405957397,0.5636965036392212,821.3430477528091,687.9667749297753,0.12664195895195007,554.754140332397,92.34451808286518,0.19635090231895447,781.1528558052435,839.3055799391386
7,0.6906811577432296,0.7621720433235168,546.0979195926967,1319.5638752340824,0.9738785624504089,470.56201720505624,1377.4577188670412,0.9582586288452148,575.8748098080524,1367.9023291198503,0.9727466106414795,463.7649959035581,1358.0746722846443,0.599798321723938,632.41485252809,1311.0628803838952,0.9078871607780457,423.55834503745325,1151.7953388342696,0.4927898943424225,671.5387260065543,1147.1951076779026,0.5021790862083435,787.444844335206,699.6072536282771,0.9958316087722778,253.4663213951311,630.7407976357678,0.9996731281280518,719.8349719101125,854.6178604868915,0.8470875024795532,261.2268843632959,298.9569068937266,0.29042965173721313,479.6814284878277,979.7620406132959,0.3414662182331085,470.25390625,989.5033795646068,0.8305187225341797,813.488120318352,687.7635621488764,0.8832026124000549,433.0795733848315,184.3551029962547,0.2256772220134735,550.1686124765918,78.69375621781367,0.1579827070236206,778.025076076779,852.7344481507491
8,0.6835196614265442,0.7472422122955322,546.4750848548689,1322.4565484550562,0.9513499736785889,471.76973607209743,1376.9054307116105,0.9566910266876221,575.0805389747192,1366.8872893258426,0.942103385925293,425.55850596910113,1357.5577890917602,0.5101436376571655,449.1415759597379,1295.679131554307,0.8867752552032471,419.07771535580525,1146.0065543071162,0.6395649909973145,655.333128511236,1147.1305155664795,0.36765962839126587,783.0471676029963,687.4847846441947,0.9960957765579224,254.32489173689146,631.590077832397,0.9993182420730591,728.5358877574906,847.1749912219101,0.8732587695121765,260.45646067415737,300.1631810334738,0.22380706667900085,683.7750175561798,894.7520921114233,0.3810538649559021,487.0633631788389,952.1188114466293,0.7505013942718506,810.2971383426966,685.2752662687266,0.7596403956413269,450.2503218632959,187.39085908239701,0.37369880080223083,765.1187236657304,842.2470447097379,0.26092982292175293,255.10167954119856,501.63985691713486
9,0.6550337041125578,0.7366407513618469,536.5336054541199,1318.4511060393259,0.9626617431640625,474.52269136235964,1378.790086610487,0.9370115995407104,581.252267673221,1366.8109199438202,0.9400832653045654,460.46597027153564,1359.3239407771537,0.5599828958511353,446.6041227762173,1292.7958216292136,0.8656273484230042,415.0479868913858,1144.6539238061798,0.4903028607368469,667.584928019663,1146.2377838249065,0.43237510323524475,241.84859257958806,640.1626872659176,0.9939364790916443,254.04472436797755,630.9695400280899,0.9991651773452759,733.5086756788389,842.7241338951311,0.9355144500732422,260.4304190074906,300.23934925093636,0.19226980209350586,630.1273554541199,775.0944376170412,0.18336647748947144,482.4157303370787,927.5862447331461,0.8228938579559326,814.9005149812735,683.2759099953183,0.5880681872367859,799.4798981741574,692.1223958333334,0.30000463128089905,766.7269428838952,840.4272003745318,0.19566833972930908,777.5536926498128,853.3304073033709
