Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.673689933384166,0.7946686744689941,604.0488939606741,1260.80860838015,0.9845569729804993,592.3417749297753,1354.5154494382023,0.789840579032898,670.898291198502,1345.081489934457,0.9889296293258667,505.69719978932585,1330.484843164794,0.6339377164840698,716.1905284410113,1331.3468515917602,0.8383490443229675,487.5380383895132,1205.8670558286517,0.676371693611145,714.966643258427,1108.2598899812735,0.5095654129981995,256.74032947097385,736.9485896535581,0.906976580619812,288.47027153558054,1050.0840502106741,0.7530174255371094,244.92911692415737,361.3008397705993,0.9781030416488647,245.54731390449444,371.7769048455056,0.784288763999939,765.7001989700375,1030.229839653558,0.22159066796302795,730.4401480571162,1084.6033766385767,0.7692188024520874,829.5166198501872,712.408049508427,0.3903227746486664,820.4501697097378,722.4414794007491,0.24134090542793274,430.5999824438203,289.6234382315075,0.1916501820087433,811.193673923221,820.9891444288389
1,0.7055262222009546,0.736735999584198,599.6420002340824,1262.4098782771537,0.9931157231330872,582.3146360018727,1359.672430945693,0.6607369184494019,645.6957367743446,1339.8241455992509,0.9718960523605347,503.46259070692884,1383.0955933988764,0.5908592343330383,678.1393375468165,1320.1070926966293,0.9003863334655762,497.2181501638577,1206.7619089419477,0.5807557106018066,719.0603054775281,1111.0050181413858,0.4690873920917511,815.5536048689139,719.106170997191,0.9248422384262085,276.73484316479403,694.221017673221,0.7926247715950012,738.2413096910113,866.0713658707865,0.972651481628418,240.49764454588012,364.68435451779027,0.7563999891281128,763.830246371723,1017.2025690543071,0.3137966990470886,718.2750321863296,1076.4059573970037,0.8153306245803833,829.1555477528091,705.3832367743446,0.6467636823654175,561.8528353230338,226.131367772706,0.446416974067688,398.2636206694757,333.42301615168543,0.42154595255851746,478.35498595505624,312.7445063787453
2,0.6761023279498605,0.7740018367767334,595.1724163155432,1268.8196395131088,0.9905475378036499,552.2656981507491,1357.9470973782772,0.6271848678588867,659.5518053604869,1349.4677551498128,0.9389692544937134,486.5319961376405,1382.235779494382,0.6318163275718689,687.3381905430713,1303.767117275281,0.9739213585853577,492.74988295880155,1212.7247191011236,0.749826192855835,730.6369967228466,1166.3173718398878,0.587918758392334,261.94398115636704,740.7707162921348,0.9366350173950195,307.744689255618,1042.5932672050562,0.7757353782653809,236.57391151685397,367.81217082162925,0.9226595163345337,241.55876931179773,368.7744689255618,0.7629357576370239,748.8825491573034,1000.5699906367041,0.21400406956672668,297.5122161750936,73.9454222261236,0.7534660696983337,825.7446746254682,699.0949789325842,0.26969093084335327,853.4616397471912,709.2482297518727,0.3381000757217407,706.3655781835207,839.3395950374533,0.24632662534713745,810.4340765449438,819.4479312968165
3,0.7399727071032804,0.7958859205245972,602.5882929541199,1267.694142088015,0.990970253944397,571.3967404026217,1358.6677785580525,0.7146834135055542,646.316567181648,1337.3583801498128,0.9506851434707642,459.806955173221,1370.5373654026218,0.5320377945899963,681.5249736657304,1271.9443469101125,0.8417453765869141,458.79396360018734,1188.632666198502,0.6556993722915649,713.3101445458801,1217.5657625234082,0.7682704925537109,831.348753511236,714.6918890449439,0.8782025575637817,256.9329353932585,693.439767673221,0.7382157444953918,815.402036516854,827.9473899812734,0.9791181683540344,233.3888547518727,361.5391649110487,0.778272271156311,743.2113178838952,1009.2880237593633,0.3017241358757019,730.493987008427,952.4060744382023,0.6840416193008423,571.815235838015,218.71187017205057,0.7309974431991577,562.5423542837079,214.18418627106743,0.8738386631011963,658.9859843164795,887.3556004213483,0.3651476502418518,686.2355893024344,886.115548923221
4,0.6769113347810858,0.7412038445472717,594.6903528792135,1263.488120318352,0.9860557317733765,553.546640917603,1368.652270599251,0.7573111057281494,656.8460323033707,1348.515625,0.9386062622070312,500.1357677902622,1408.6835791198503,0.7133598327636719,694.0707660346443,1329.9645950374531,0.3140178918838501,401.7039735486892,1114.3432525749065,0.49623095989227295,713.375468164794,1100.0959006320224,0.7214361429214478,823.1672811329588,709.3946044007491,0.9507876038551331,281.3300269194757,700.4846237125469,0.9855201244354248,816.4371196161048,832.0436124765918,0.9894126653671265,232.38661633895128,365.0777226708802,0.7482536435127258,726.600392088015,1018.4290876638577,0.15184614062309265,625.7597436797753,921.9267175795881,0.5185452103614807,843.140946863296,697.8755559456929,0.5033054351806641,575.9889981273409,217.63640785931648,0.7214300036430359,668.7409293071162,890.5176878511236,0.27017009258270264,670.3157186329588,899.8038828417604
5,0.6913867470096139,0.9176076650619507,590.834137991573,1263.6987944756554,0.9930558204650879,541.5524783473783,1367.9494382022472,0.8074952363967896,653.1902504681648,1339.302434456929,0.9750982522964478,423.4463512406368,1377.5820751404494,0.893699049949646,683.575389161985,1333.7418071161048,0.42612773180007935,436.55818410580525,1154.4372512874531,0.5935705900192261,718.0736481741574,1203.9964448735955,0.6311384439468384,759.1572302200375,1049.6335147471912,0.9531553387641907,267.47044709737827,693.3851972144195,0.9648035764694214,818.8472904962548,838.9279757724719,0.9826641082763672,233.33179716760299,364.78614378511236,0.8292454481124878,757.6870464653559,1011.8861189138577,0.3009878695011139,725.7362622893259,1050.3325433052435,0.590645432472229,836.7341116573034,700.8328944288389,0.325102299451828,569.7332923689139,204.83855629681648,0.3400959372520447,673.8330261001872,852.3016883192885,0.2290818989276886,802.8241309691011,824.8558930243446
6,0.6775539254440981,0.832648515701294,595.1164559925094,1282.8291783707866,0.9670464396476746,562.4398700842697,1370.3375175561798,0.8927161693572998,654.910317181648,1357.9611423220974,0.9499597549438477,477.2323414091761,1352.702188670412,0.7295023202896118,663.5295967930713,1319.681794241573,0.554288387298584,430.74013927902627,1163.877501755618,0.42274343967437744,699.1533532303372,1237.001404494382,0.6968346834182739,834.9796640917602,707.822887406367,0.9080261588096619,263.3228727762172,672.0175708099251,0.9699153900146484,808.7526334269664,840.4935481039327,0.9917770624160767,225.70261294475654,364.09230893024346,0.8242908716201782,746.0337663857679,1004.5839185393259,0.48489829897880554,731.3925708099252,1066.130252223783,0.6658251285552979,845.0576427902622,700.607736423221,0.10053825378417969,814.6007432116105,704.5757256554307,0.3602316379547119,772.8991104868915,836.5947594803371,0.16717422008514404,790.2861657303372,827.9047430945693
7,0.6922094155760372,0.9057984948158264,605.9805857911986,1282.8163038389514,0.9930444955825806,555.7894428838952,1358.1447507022472,0.919896125793457,650.275558871723,1365.5256612827716,0.9774816632270813,438.250160931648,1366.8453007958801,0.7915574312210083,677.5594715589889,1344.0825433052435,0.2792849540710449,438.90186095505624,1122.3318995786517,0.5587462782859802,698.7183988764045,1227.4863939606741,0.5977158546447754,820.196482911985,705.4912804307116,0.7025208473205566,261.46820868445695,695.533049508427,0.773857831954956,809.273759363296,820.4299801029963,0.9786748886108398,214.17924859550567,365.4063524110487,0.7418148517608643,747.3922489466293,1030.7687412219102,0.5862471461296082,728.1162219101125,1081.514220505618,0.8051818609237671,833.8101299157304,703.5639044943821,0.28560513257980347,253.37005500936334,719.8700111189139,0.6983407735824585,685.7348724250937,904.134846090824,0.1717914342880249,794.11407127809,820.9947770365169
8,0.6775215548627517,0.9212905168533325,604.1519633661048,1288.0130793539327,0.9862675070762634,548.6619264981274,1357.332338483146,0.9153393507003784,674.3882402855807,1347.052902621723,0.984745442867279,461.4225626170412,1371.455699906367,0.571627140045166,670.52734375,1339.5466116573034,0.5774315595626831,465.23613061797755,1193.0946424391386,0.5398347973823547,695.0062178136704,1221.9610252808989,0.6016754508018494,773.9120289091761,1060.2242070458801,0.7114942669868469,285.88446570692884,1050.614466292135,0.7923060655593872,723.2035639044943,873.728054775281,0.9398001432418823,206.33412336142328,362.5443293539326,0.8897023797035217,742.9972056413858,1017.203593164794,0.4155767858028412,729.6958391853932,1082.0820897705994,0.7237597703933716,825.0412570224719,702.212810159176,0.2131842076778412,825.3442474250937,702.0815045646068,0.6337332129478455,689.6742597144196,874.2415730337079,0.10009783506393433,790.6817649812735,805.4105220037453
9,0.7182133636053871,0.9382853507995605,582.5381115402622,1287.9975713951312,0.9941411018371582,521.105088366105,1358.4720271535582,0.917323112487793,659.6684076544943,1347.1626287453184,0.9929457902908325,443.5101386938203,1380.7053195224719,0.6544326543807983,669.2707601825844,1324.828680945693,0.8019570112228394,455.3389805711611,1202.5889513108614,0.7130112051963806,692.8310071395131,1226.725845622659,0.4848056733608246,810.3540496254682,719.3265742041199,0.9596307277679443,264.4860428370787,711.1618533473783,0.9150420427322388,708.2508924391386,849.8447009597379,0.9461032152175903,202.2329997659176,363.09584942649815,0.9135056734085083,739.319844335206,1022.8541227762173,0.28680410981178284,755.1732209737829,1023.137581928839,0.8261032700538635,830.5028382490636,700.8225070224719,0.2413632571697235,828.7795529026218,703.6257168773409,0.49313583970069885,660.3837488295881,903.2089770599251,0.1310371458530426,376.72145657771534,250.09121898408242
