Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7739182517809027,0.9594954252243042,582.0555360486892,1198.4899490870787,0.9310880899429321,524.6291988529963,1266.8488120318352,0.9268882274627686,624.402504681648,1251.823501872659,0.9451508522033691,460.54665554775283,1252.8127926029963,0.47276541590690613,648.8916930009364,1226.7604459269664,0.5712752938270569,472.53862359550567,1143.3792720037454,0.4587165415287018,526.631481156367,1089.1629359784645,0.5684304237365723,640.7965385065543,170.3393829002809,0.9926319122314453,251.9249619616105,562.2102133075842,0.9148175716400146,625.5129330524344,925.3095008192885,0.9948995113372803,240.24578651685397,219.7276963366105,0.9126279354095459,772.2744030898878,947.1643843632959,0.8579181432723999,667.6717579588014,951.7447916666667,0.6825355887413025,832.5358438670412,594.7439723782771,0.9212830066680908,835.3002106741574,611.0826310861423,0.9467726945877075,638.7380032771537,919.4341058052435,0.0993136465549469,648.4745142790262,924.3776334269663
1,0.7538329134969151,0.9534627795219421,583.0478259597379,1180.1375234082398,0.9751936197280884,567.3558930243446,1256.1070634363296,0.9062702059745789,635.2499561095506,1236.6906601123596,0.9568386077880859,434.711566596442,1264.723051264045,0.541490912437439,647.0866982677903,1230.5756963951312,0.7240023612976074,436.4703300561798,1101.8395950374531,0.4833294749259949,647.9721149344571,1150.760475187266,0.3212333917617798,243.25835381554305,578.3140215355805,0.995688796043396,258.46866221910113,566.322346090824,0.9691683053970337,640.2158678604869,918.3796377574906,0.9932850003242493,242.49114875936334,217.58553151334272,0.9295551180839539,736.5753745318352,962.9369294241574,0.8363430500030518,711.9320575842696,1002.1945224719101,0.6023245453834534,841.4916900749065,593.6154757724719,0.6708924770355225,827.2126638576779,606.873829588015,0.9013198614120483,620.6952247191011,902.078359082397,0.054761022329330444,461.20530489232215,841.9402504681648
2,0.7201597953543943,0.8383563756942749,556.3161282771536,1194.3201369382023,0.9867626428604126,544.8657683754682,1263.723519428839,0.9244143962860107,618.705085440075,1258.3642029494383,0.9480798244476318,424.9506963951311,1273.985399110487,0.5189591646194458,635.512347846442,1214.236964536517,0.6222683191299438,424.9499648876405,1107.479225187266,0.31755244731903076,341.81852762172286,6.7492338602016035,0.23107656836509705,251.02176966292132,561.1091116573034,0.9951150417327881,253.28936973314615,553.1936519779963,0.977447509765625,630.8481097846443,902.7887260065544,0.9714542627334595,245.86500760767797,212.95735677083334,0.8269330859184265,748.23516502809,955.8335527855805,0.8251722455024719,715.666476474719,996.5989290730338,0.5469386577606201,849.9169007490636,588.001960440075,0.7302381992340088,829.5207162921349,604.1359799274345,0.9322434067726135,639.4857502340824,863.9969569288389,0.04970437288284302,624.8090765449438,56.746826171875
3,0.7282439084614024,0.8791368007659912,570.7462839419476,1185.0198238529963,0.9880969524383545,548.2057584269663,1253.4816830524344,0.8368116617202759,616.8346207865168,1248.9100538389514,0.938774824142456,419.19365929307116,1271.9184515449438,0.6163737177848816,637.133441596442,1211.232590121723,0.5500954389572144,457.90101240636704,1124.9923191713483,0.47813379764556885,493.4794153792135,1085.8939021535582,0.22540545463562012,248.23143433988764,580.2000672986892,0.9977717995643616,248.45044768258424,553.3106566011236,0.9775647521018982,642.5307233146068,899.7202715355805,0.9753022193908691,242.8473929073034,216.40855424859552,0.8405579924583435,762.8762143024344,945.3832367743446,0.920324444770813,715.2039442883895,1000.7583538155432,0.6373670101165771,845.0829529494383,598.3969013342697,0.8065373301506042,841.2027446161048,607.5471456577716,0.6894403100013733,654.5181560159176,828.152504681648,0.022451937198638916,602.0444902855805,877.08984375
4,0.7606078789514654,0.852828860282898,585.1324028558053,1199.7637962312735,0.9130255579948425,558.5919212312734,1264.0066128277153,0.8582260608673096,627.7897501170412,1249.782888576779,0.9448781609535217,431.2839419475656,1277.0110603932585,0.5878649950027466,629.1501345973784,1220.3004301264045,0.7157289385795593,462.4727879213483,1146.0590033941949,0.7021642327308655,344.79934749531833,75.36038173718399,0.4707753658294678,242.8051117743446,579.5698004447565,0.99867844581604,238.671875,549.275551556648,0.9737462997436523,640.5726240636704,896.2942562031835,0.9980612993240356,239.4499063670412,209.61080143960675,0.7614315152168274,763.1796436095506,953.0130793539327,0.8929636478424072,716.7488881086142,998.1743036048689,0.69524085521698,845.4358321629213,594.9579748946629,0.8263857364654541,828.3473782771537,611.2336142322098,0.6260274648666382,646.9903587312735,842.1319785814607,0.11230650544166565,652.4488676264045,895.0693469101124
5,0.7449402405935175,0.9627814888954163,584.1354312968165,1206.974777621723,0.9663486480712891,525.5332689606741,1242.0651919475656,0.8917278051376343,603.9058110955057,1240.1132373595506,0.9400676488876343,457.09701252340824,1257.0839185393259,0.47700950503349304,669.7474836142324,1215.846646769663,0.5995556712150574,400.8958772237828,1106.4260007022472,0.6785171627998352,345.31425561797755,70.39535693908006,0.51445472240448,242.07550620318352,559.0234375,0.9910751581192017,240.5308549859551,561.1893580290263,0.9947270750999451,629.207192181648,891.7576661985019,0.9956053495407104,236.17180184925098,215.47107253628278,0.7771456241607666,764.6818673923221,949.6005237593633,0.9051366448402405,712.4476972144196,1008.3688114466293,0.5881623029708862,850.6861540262173,588.8837927200375,0.565144419670105,829.3839243913858,609.9336888459738,0.756050705909729,635.6124180711611,845.6742304541199,0.06047415733337402,592.2896184456929,1001.3990812265918
6,0.7566706468077267,0.9694739580154419,586.1571716994382,1207.9062061095506,0.9621129035949707,534.3056530898876,1244.904611423221,0.9183932542800903,629.5768229166667,1233.5023115636704,0.9309482574462891,457.6430828651686,1246.4220505617977,0.3211987614631653,667.0913799157304,1201.8753657537454,0.7690058946609497,431.83988764044943,1080.3740929307116,0.3501933217048645,312.7215004681648,116.24623273642322,0.487743616104126,250.9497161750936,559.6309544709738,0.9722481966018677,235.7587927200375,562.4760065543071,0.9906145334243774,633.5218428136704,893.5962371254682,0.995245099067688,241.86358848314615,208.76388035463484,0.8126355409622192,780.6588687968165,958.9576749765918,0.9029644131660461,718.2533064138577,1001.8250380383895,0.6099464893341064,839.0914676966293,601.8765361657304,0.8978731632232666,828.0057642790262,617.1580202481274,0.8736505508422852,637.6381817649813,872.630939840824,0.09915304183959961,677.3903470271537,196.51149564021537
7,0.7315528182422414,0.935364842414856,586.1409322331461,1205.1247220271537,0.9191166162490845,540.5013020833334,1250.1995552434457,0.8566381335258484,613.0024724953184,1241.0643433988764,0.9345560669898987,466.52768024344573,1267.728522940075,0.2725856602191925,505.7511118913858,1217.598680360487,0.6615468263626099,394.2283327481274,1091.1461259363296,0.5958797931671143,342.1042544475656,125.10165210966761,0.3817787170410156,649.8156601123596,82.01864978347379,0.9829186201095581,239.69496137640454,556.8194420060862,0.9941847920417786,641.757666198502,896.469452247191,0.9910116195678711,243.42169943820227,210.0269926264045,0.8412540555000305,773.1344364466293,969.7686973314607,0.8679851293563843,707.5947302200375,996.3612622893259,0.7668827176094055,844.5330056179776,605.9606156367041,0.7840534448623657,829.0342638108614,591.5989290730337,0.4732312858104706,632.3630617977528,852.7940660112359,0.1774095892906189,627.4397237827716,141.15604700667134
8,0.722702343674267,0.7155106067657471,548.0598226825844,1188.0199555243446,0.8771999478340149,542.815938085206,1257.2385592228466,0.7374743223190308,626.0257198033707,1260.8204588014983,0.8996710181236267,464.3851679541199,1228.0492158239701,0.48150503635406494,640.0706636235955,1238.7826252340824,0.6036889553070068,449.5639483848315,1192.8152065777153,0.6407574415206909,339.9697887406368,118.90476869733146,0.4512886106967926,244.2856829353933,595.2811183286517,0.993017852306366,245.54153499531833,561.2323706694757,0.9817148447036743,653.1022501170412,907.4172665028091,0.9957154989242554,247.09357443820227,215.89606010065543,0.5506898760795593,758.1243416432585,969.5701661985019,0.7687018513679504,700.7167310393259,1017.9517790262173,0.6745609045028687,842.5004389044943,603.0902533941947,0.9221912026405334,834.9022705992509,589.007271184457,0.8949531316757202,635.7982209737829,867.9233965355805,0.09729874134063721,643.2409439372659,890.7217784410112
9,0.7175110122736763,0.6636204719543457,583.1503833099251,1207.2600655430713,0.8728028535842896,538.5305477528091,1258.3400632022472,0.7223566770553589,614.3668071161048,1255.9048747659176,0.854017972946167,451.69687792602997,1254.5502691947565,0.3896895945072174,492.63723080524346,1222.503364934457,0.5181692838668823,442.0687031835206,1204.9639366807116,0.47500836849212646,656.9062353698503,1187.995084269663,0.39837920665740967,243.96213717228466,590.2387640449439,0.9977351427078247,241.17450842696633,562.474616690075,0.9374052286148071,655.4351738061798,921.9738266619851,0.9892807006835938,247.3273642322098,212.7343201369382,0.8465768694877625,741.0909702715355,971.0614905196629,0.853082537651062,707.5280898876406,1018.6652182818352,0.6952409148216248,833.1484082397005,619.654070107678,0.9277220964431763,833.8807935393259,621.44765332397,0.8401798009872437,648.4285756086142,905.6080290262173,0.21641948819160461,613.336405664794,914.9735925795881
