Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7331602976602667,0.9207437038421631,571.4410697565544,1359.620932818352,0.9259779453277588,537.8617304541199,1416.09140917603,0.8932168483734131,639.138357326779,1418.098373127341,0.9547591209411621,481.51751228932585,1414.6190308988764,0.549150288105011,632.8736540262173,1400.8050971441949,0.3574116826057434,439.74814197097385,1214.632198033708,0.304826021194458,733.6711434925094,1207.5508397705994,0.9725736379623413,837.4444054307116,867.3871283941947,0.9193651080131531,296.33207514044943,828.7512435627341,0.9965680837631226,753.4721734550562,836.6343340355805,0.9598467350006104,408.77991865636704,793.4498624765918,0.5719167590141296,721.2326632724719,939.2581782537453,0.717818558216095,632.0237886235955,488.9445078417603,0.8759104013442993,463.4404260299626,456.9693278909176,0.9334462881088257,523.6312031835206,1097.017570809925,0.4503735303878784,711.0154055477528,172.531015917603,0.1598203480243683,461.4482385299626,748.0163711376405
1,0.719818502664566,0.9028103351593018,588.6102820692885,1382.7133075842696,0.9031729698181152,548.8210293773409,1417.8824321161048,0.8832604885101318,646.0803634129213,1416.311007724719,0.9483450055122375,494.38794768258435,1416.0024578651685,0.6293250322341919,650.0105337078653,1395.4140332397005,0.38490360975265503,447.21324906367045,1230.7303370786517,0.25888222455978394,763.6012845271537,1220.7901743913858,0.9670518636703491,841.8106273408241,865.7449672284645,0.8828932642936707,269.13499239232215,828.5780957397004,0.9907118082046509,745.9087517556179,837.471324906367,0.9750881791114807,428.4774403089888,791.3940338249064,0.5901015400886536,720.1773174157304,926.8384246254682,0.5561048984527588,634.5936475889514,477.64937382958806,0.7800513505935669,471.7495464653558,468.870625585206,0.9325578212738037,522.8530986657304,1091.7834152621724,0.5053650736808777,410.18302317415737,648.4606887874533,0.14628908038139343,428.4862183988764,693.2834445224719
2,0.723486050086863,0.9360541701316833,603.0298308754682,1337.1958391853932,0.8985229730606079,545.3086230102997,1413.5564431179776,0.9167894124984741,663.6254974250937,1416.4583333333335,0.890182375907898,492.5855132256555,1413.113442181648,0.6092389822006226,655.6549918071162,1398.711815308989,0.20048099756240845,528.3667632256555,1239.7192474250937,0.4606497883796692,565.5497278792135,735.7687412219101,0.9556535482406616,848.3918539325844,863.1059808052435,0.8790498971939087,297.96216643258424,829.1308959503746,0.9906163215637207,755.1078242041199,838.4871693586142,0.960369348526001,427.9517058754682,787.6869733146068,0.5563710331916809,723.4819756554307,933.4557145365169,0.7266067266464233,640.984535931648,469.4661824087079,0.8486076593399048,467.53796523876406,464.1495859667603,0.8913218975067139,497.87350772471916,1081.2497073970037,0.3702736496925354,417.0599982443821,751.4659410112359,0.2084740698337555,453.53661926498125,748.6837254213483
3,0.7427980619318345,0.9064607620239258,630.6328271301497,1352.84688085206,0.8906036615371704,539.8441157537453,1424.2215297284645,0.9602500200271606,666.4990051498128,1406.405079588015,0.8968164920806885,490.32808110955057,1414.6662862827716,0.5138985514640808,654.2321365870787,1398.563904494382,0.3248007297515869,446.3860603932585,1267.7788506554307,0.36213061213493347,551.1291549625469,744.7346822331461,0.9508464336395264,849.1810042134832,865.0450608614233,0.9139584302902222,291.52768024344573,858.8480220037453,0.9945855140686035,755.2201837546818,836.4000321863297,0.9658585786819458,424.7556764981274,787.4549391385768,0.5999250411987305,721.8044095271537,924.7180038623596,0.7031059265136719,673.6872366573034,479.90446512172286,0.8335738778114319,466.42563494850185,462.0392600070225,0.8939467668533325,448.54459269662925,465.73062968164794,0.5493014454841614,389.1847349016854,763.4072887406368,0.36750420928001404,407.4849309456929,733.4500087780899
4,0.7266044529045329,0.9412670135498047,623.9766941713483,1364.8829588014983,0.8765965700149536,532.0326398642322,1431.8214536516855,0.9451860785484314,649.031557233146,1413.7150339419477,0.9050415754318237,498.409922167603,1414.3728054775281,0.5345818996429443,651.2359550561798,1394.155547752809,0.22371110320091248,447.7798747659176,1268.561563670412,0.4405340552330017,543.4942649812734,746.9648291198503,0.9491676092147827,848.3842462546818,864.5555360486892,0.8974871039390564,293.99922460205994,859.4851650280899,0.995822012424469,754.2965823970037,836.978288857678,0.9756395816802979,420.78973548689146,788.6990139279027,0.5448046326637268,726.4305360486892,914.982736423221,0.6314375400543213,675.5565308988764,477.1471207865169,0.8891137838363647,451.2041344803371,456.2394297167603,0.8884318470954895,452.64015683520597,457.84307701310865,0.4581499695777893,390.0925356975656,764.3826076779027,0.2553033232688904,403.6283503043071,739.7583830758427
5,0.7229268463218913,0.9209690093994141,626.1742158239701,1362.0723607209738,0.9217356443405151,527.1422928370787,1435.53985252809,0.9290860891342163,641.9755822799625,1409.9920997191011,0.93209308385849,495.92543012640454,1416.5505032771537,0.6548480987548828,639.3946775514983,1385.1742450842696,0.22598543763160706,446.74676673689146,1272.8559515449438,0.32487642765045166,740.5442415730338,1210.7740080758426,0.9526135325431824,847.1671640917602,866.0102849953183,0.9094995856285095,294.8245113529963,830.1967755149813,0.9948534965515137,759.8556735720974,835.7481127106741,0.9590258598327637,425.5219305945693,787.6972144194757,0.5621877312660217,707.5710293773409,1062.8062821863296,0.643296480178833,676.31642088015,468.45640946863296,0.7017970681190491,687.3945897705994,1120.7413096910113,0.9002028703689575,455.0349660580524,470.6323150749064,0.501494288444519,421.1530752574906,649.8761557818352,0.2551916837692261,412.521798923221,679.2624941479401
6,0.7414028749746435,0.8984920978546143,627.0738237359551,1358.0945692883895,0.7638670206069946,538.1586493445693,1425.2866046348315,0.9355103969573975,645.6931764981273,1409.7224660580525,0.9297981858253479,484.6512172284645,1412.1259070692884,0.5321686863899231,646.4541637406367,1387.1853054775281,0.4067689776420593,538.0106653792135,1218.4013635299625,0.6045289635658264,544.5420763108615,732.6279406601124,0.9457589983940125,846.6126814138577,864.2852440308989,0.888689398765564,295.59025339419475,828.095081343633,0.9912630319595337,762.3216584737829,835.6941274578652,0.9413588047027588,428.5739261470038,792.5263342696629,0.594786524772644,449.12884772940083,1101.3621400983147,0.7193798422813416,674.9693498361423,471.5572331460674,0.7292881011962891,457.18150163857683,467.32933930243445,0.9474966526031494,450.05010826310865,481.4028850655431,0.5340951085090637,405.5247834737828,640.6416783707865,0.24059808254241943,747.8268375468165,194.93804131554307
7,0.7314409140278312,0.9382694363594055,596.3692357209738,1338.0022530430713,0.7982034683227539,545.2378862359551,1414.3202832397005,0.8513891696929932,654.6996430243446,1410.5069346910113,0.9429689645767212,490.5805243445693,1414.7918129681648,0.5400147438049316,665.3032830056179,1391.5638167134832,0.4392860233783722,549.5012581928839,1213.3399900514983,0.27674219012260437,765.0509129213483,1216.8377662687267,0.9593065977096558,844.0569405430713,863.546494616105,0.9176164865493774,295.2765829822098,828.2103669241574,0.9949155449867249,759.9779084737829,833.4802931882023,0.977091372013092,422.26869733146066,791.1568059456929,0.5387020111083984,704.7608702013108,1063.7227147705994,0.6392388343811035,639.1393082865168,464.2490709854869,0.8344321846961975,466.3056677200375,463.46654084737827,0.9744044542312622,514.6639454588015,1094.5016239466293,0.44451233744621277,403.8137874531835,626.2374180711611,0.36740171909332275,742.4269955524344,207.15705100070227
8,0.7497252313529744,0.9333114624023438,590.0754915730338,1346.9171348314608,0.8667510151863098,534.2355015215356,1421.368065308989,0.833387017250061,625.519224016854,1400.1692708333335,0.9492551684379578,491.542895599251,1408.6372015449438,0.7764492034912109,641.4406308520599,1389.0704002808989,0.38913434743881226,564.1272384129214,1208.816713483146,0.4128458499908447,754.4225479868915,1220.8125585205994,0.9589073657989502,842.7712429775281,864.4471997893259,0.9503156542778015,293.6244733146068,830.8205319522472,0.9947615265846252,759.4979664091761,834.3897764513109,0.9797582626342773,416.7589829119851,790.5094218164794,0.49523067474365234,447.39159058988764,1092.3264132724719,0.663582980632782,636.7624941479401,466.9624882958802,0.890357494354248,460.8141678370787,453.6392497659176,0.976599931716919,517.468984082397,1100.8045850889514,0.4657368063926697,416.97221734550567,637.9140332397004,0.208944171667099,728.8696746254682,204.69978932584272
9,0.7413174755433026,0.93860924243927,591.3271008895132,1350.3073794475656,0.9114037752151489,535.8914150280899,1418.7415145131088,0.8303231000900269,619.1591321395131,1414.5183754681648,0.961872935295105,489.8644516619851,1407.024520131086,0.8179296851158142,639.944844335206,1383.3900983146068,0.3220762312412262,449.73051264044943,1225.6625994850187,0.2986946702003479,755.2813377808989,1207.7709503745318,0.9541584849357605,841.970242275281,864.9502574906368,0.9623100757598877,291.83220681179773,828.9174420646068,0.993125319480896,758.2718867041199,836.0290115870787,0.9802570343017578,417.52896769662925,788.7335410814607,0.538146436214447,721.7951193820224,953.6328125,0.7082256078720093,638.4026070926966,475.1317444990637,0.8324324488639832,460.60759012172286,462.3396535580525,0.9799178838729858,510.01953125,1095.0635680009364,0.3669036328792572,724.7230512640449,928.3666900749064,0.20601052045822144,459.8662072799626,735.8012933052435
