Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.5191644973614636,0.4761822819709778,527.2047635767791,1283.8117392322097,0.1678614318370819,456.51166022940083,1342.9386118913858,0.14726698398590088,536.4393141385768,1322.521945224719,0.05933701992034912,560.9004857209738,1188.9840823970037,0.04821839928627014,383.08227996254686,511.5459313553371,0.8211851716041565,366.4369001638577,535.6785463483146,0.11025160551071167,438.3171670177903,504.139454588015,0.37752899527549744,262.044929190075,826.9224748361423,0.8550153970718384,270.3051117743446,827.7943586142322,0.8727598190307617,655.3315191947565,1044.4476386938202,0.9068016409873962,236.2201544943821,485.75700052668543,0.4274914860725403,493.4596646769663,478.5091511587079,0.7534662485122681,556.2347114934457,456.1991968047753,0.6719827651977539,574.2253335674158,975.4488529962547,0.8442689180374146,735.544461025281,821.0677814840824,0.6972032189369202,625.0984609082398,1085.1498858848315,0.5889750719070435,477.12239583333337,1208.1820575842696
1,0.5153374987490037,0.5087347030639648,392.7810451779027,1308.1271945224719,0.3545202612876892,447.28727762172286,1347.9222261235955,0.24595525860786438,449.63958625936334,1349.4087956460676,0.05907934904098511,409.5617538623595,1334.3273057116105,0.055103182792663574,385.55506788389516,529.9084518375469,0.5663614273071289,380.6851299157304,556.8062017205057,0.11061501502990723,425.4552171114233,523.4929848431648,0.28407523036003113,255.83969744850185,818.4950696395132,0.7885956168174744,269.2112886235956,825.9884129213483,0.7939770221710205,263.83273349719104,479.0698516502809,0.9150830507278442,237.52648057116107,484.55173220973785,0.4896555542945862,643.6097700140449,425.62262260065546,0.8214696645736694,552.4443322799626,458.3096324906367,0.7524862289428711,569.2458889279027,983.693673923221,0.8796757459640503,246.86051615168537,838.2458450374533,0.5503084063529968,642.1617509363296,1053.6739232209738,0.5850417613983154,470.23291198501875,1162.593047752809
2,0.5791332826894873,0.8496253490447998,408.6366894897004,1309.246254681648,0.42203763127326965,439.4051381086142,1343.4278441011236,0.3849278688430786,433.3920733848315,1335.0174098782772,0.09365931153297424,428.27334971910113,1316.634772940075,0.0783318281173706,462.8659000468165,1320.6634772940076,0.5972687005996704,385.4473168305244,546.0762303955993,0.09120404720306396,410.8804424157304,521.4709884129213,0.31436413526535034,265.7751784878277,873.799376755618,0.771614670753479,267.5560334737828,821.8251843398876,0.7977233529090881,242.22158824906364,475.9596646769663,0.9126076698303223,238.7878189372659,483.74444054307116,0.5240570306777954,638.4267468398878,433.67000965589887,0.8358713984489441,552.3075403792135,454.2069361540262,0.9222115874290466,575.1770979634832,987.2445575842697,0.8926547765731812,246.16997308052441,835.9728318117977,0.6907557249069214,630.7117567883895,1071.9534907537454,0.6663507223129272,468.2270452949439,1157.2983233848315
3,0.553727470776614,0.7525759935379028,520.3752633426967,1273.4244791666667,0.31890439987182617,443.607429190075,1349.274783473783,0.5944486856460571,522.2848636470038,1321.6653499531835,0.1055399477481842,420.0629827949439,1328.8578242041199,0.09238195419311523,358.6429804541199,534.648986130618,0.4387507140636444,390.2295470505618,528.501726357678,0.04103368520736694,332.63723080524346,900.8870991338952,0.3827337622642517,306.85181121254686,1028.1952978698503,0.8525718450546265,266.4059573970038,823.6311300327716,0.8018890619277954,238.60859960205994,474.54310042134836,0.9125937223434448,238.9788886938203,481.6975728581461,0.5341060757637024,638.8022296348315,437.6750497425094,0.8245052695274353,550.9227235486892,457.417266502809,0.8952696919441223,572.7413243211611,997.4081958099251,0.8426284790039062,244.73702305711618,838.4118972378277,0.47171637415885925,572.5950228230338,1203.0682350187267,0.5517173409461975,466.916330173221,1158.1059808052435
4,0.5740606258897221,0.8462895154953003,496.86424683988764,1272.7048220973784,0.4935736060142517,436.0504447565544,1355.8905372191011,0.5775887966156006,513.4719540028091,1328.3561563670412,0.2485019564628601,407.93393024344573,1327.4980980805244,0.16698414087295532,480.25471090823976,1328.805155664794,0.3987939953804016,394.8427990402622,529.6452554424158,0.03438982367515564,337.5670060861423,935.5287336142322,0.35678908228874207,305.2160873127341,1027.7634158473784,0.8922926187515259,264.79078885767797,824.6538506554307,0.7376708388328552,240.52207689606746,473.7500731507491,0.8986576199531555,237.94512230805242,480.9795251053371,0.42061322927474976,397.03146945224717,954.4373975889514,0.7808705568313599,555.3988178838952,464.04669943820227,0.9190632700920105,571.852030664794,995.7621576544944,0.8231984376907349,242.13717228464418,837.1373185861423,0.6486746668815613,629.1479400749065,1068.3220681179776,0.5150784850120544,465.0765156835206,1161.2811622191011
5,0.6234447202261757,0.8950009346008301,500.1247951779027,1281.348899812734,0.564551055431366,435.2956021769663,1352.7147705992509,0.6621788144111633,514.1044153792135,1335.8324555243446,0.28111541271209717,418.18220388576776,1325.6252926029963,0.1311982274055481,365.5967638108615,540.1443995786517,0.4296712577342987,344.60571746254686,573.785075784176,0.05400270223617554,417.8755559456929,536.45741894897,0.6446273326873779,268.28424918071164,863.233994616105,0.8571439981460571,266.82262406367045,831.5266561329588,0.7742440700531006,260.90172928370794,480.0186900163858,0.8814519643783569,238.15038330992513,479.57484784644197,0.37974101305007935,634.9121459503747,444.552500292603,0.7472451329231262,553.7088161282771,472.54059866573033,0.758800745010376,567.6323297050562,942.4553048923221,0.8979142308235168,244.3858263108615,843.4135065543071,0.7648835182189941,634.1768346207866,1071.600392088015,0.874789834022522,462.70730922284645,1154.9501111891386
6,0.6245535051121431,0.7984187602996826,509.3465443586142,1275.1357677902622,0.6115900278091431,461.5890537219101,1337.4095856741574,0.7518651485443115,520.3119879447565,1329.6616046348315,0.2543691396713257,415.4466584737828,1327.1743328651685,0.09397926926612854,477.6828037219101,1323.4967521067417,0.5540333986282349,371.5976855102997,549.5445634363296,0.07431867718696594,338.75658356741576,903.4102879213483,0.6782189607620239,269.5411253511236,858.2514776451311,0.9162015914916992,276.48071746254686,852.7771681882023,0.8217500448226929,261.3415115870787,479.61606829353934,0.894235372543335,238.39792544475654,481.8811446629214,0.3019387125968933,413.7592169943821,925.7647910814607,0.6570976376533508,574.9280928136704,456.17904377340824,0.8057160377502441,574.8638664559926,948.526012406367,0.8321760892868042,432.14412160580525,1012.8875526685393,0.7350727319717407,629.4433227996255,1067.13358789794,0.8364279866218567,459.8754242743446,1164.8602089185395
7,0.6078763779471902,0.7292212843894958,488.584533005618,1278.0312207397005,0.500700831413269,455.9564460440075,1342.64922752809,0.653278112411499,506.9285463483146,1337.2811329588014,0.23315879702568054,416.2356624531835,1326.4725245786517,0.29225897789001465,477.6520804073034,1325.3082572565543,0.28379300236701965,369.6618240870787,597.5866836376405,0.10517024993896484,326.5217550327716,914.1050737359551,0.708806037902832,267.7759246254682,856.4336083801498,0.8920446634292603,276.4333889279027,849.5779201779027,0.8420405387878418,263.16289208801504,478.70907215589887,0.8916090726852417,257.22736715823976,486.0146740402622,0.36280232667922974,410.2679511938203,934.6255413155432,0.7137805223464966,572.057657420412,452.37963044241576,0.6713965535163879,296.7671026451311,827.6238442181648,0.8987427949905396,241.56484082397003,844.7653323970038,0.7759047150611877,637.0275924625469,1062.8923074672284,0.779189944267273,448.23567708333337,1166.964390215356
8,0.6080930829048157,0.7100441455841064,477.34587137172286,1283.3855629681648,0.5110216736793518,442.42202130149815,1351.6240929307116,0.7780172824859619,515.708830758427,1321.365870786517,0.19431430101394653,422.0902095037453,1329.547343164794,0.334360271692276,466.9736803604869,1328.2550620318352,0.38365012407302856,338.9325111189139,561.2686900163858,0.05615761876106262,431.83674215823976,522.7584781718165,0.6512167453765869,269.8217316245318,859.1337488295881,0.8928072452545166,265.4197389981274,821.3998127340824,0.8180227279663086,263.71561914794006,477.6012406367041,0.8926923871040344,256.96065952715355,486.6707265332397,0.40624964237213135,422.42107034176036,936.9821658473783,0.6958414912223816,570.675400866105,454.5135475187266,0.7144690155982971,292.78221558988764,827.388591409176,0.9045196771621704,239.36205231741576,842.6574935627341,0.7072415351867676,637.5009509597378,1063.9649169007491,0.686956524848938,461.5893463249064,1202.938831343633
9,0.6164942348704618,0.9070082306861877,475.4232502340824,1275.1473256086142,0.57965087890625,450.02516385767797,1340.4637757490636,0.8193644881248474,521.4295119382023,1318.3151919475656,0.09784099459648132,429.58069990636704,1304.619616104869,0.16803959012031555,472.7133075842697,1329.0386528558054,0.5296609401702881,369.8132461376405,565.8647150046817,0.11201828718185425,468.19749239232215,1170.1585908239701,0.5231688022613525,266.3873039559925,868.0093486657304,0.888621985912323,266.00267731741576,823.8508017322098,0.7843598127365112,265.1529582162922,477.7479078885768,0.874515175819397,259.18466175093636,486.1194624882959,0.4130023717880249,422.02078944288394,948.37890625,0.7097632884979248,571.8320605102997,457.0596324906367,0.6240618228912354,289.84484726123594,826.9115753745318,0.8921743631362915,242.94066011235952,841.4584064840824,0.7646501064300537,634.7192474250937,1059.1768346207866,0.7925008535385132,452.5885855571162,1201.7975333567417
