Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.6496392821564394,0.6962471008300781,521.315469920412,1483.4920704588014,0.9048851132392883,519.6813553370787,1494.078446863296,0.6095204949378967,539.5323472612359,1520.8624473314608,0.35291481018066406,491.1921377574906,1462.712283473783,0.8549126386642456,495.50254564606746,1491.741719335206,0.07453805208206177,394.8956138810862,1257.3570634363296,0.4590408205986023,489.97900573501875,1198.2966116573034,0.3411361575126648,732.912570224719,609.6491324321162,0.9825308918952942,287.40256320224717,897.3098080524345,0.998753547668457,671.2358087546818,1196.4403382490636,0.877411425113678,481.5711317883895,782.0813582631087,0.5412877798080444,711.6402592462548,1150.6715970271537,0.604154646396637,578.0015946863297,469.47159556413857,0.8271572589874268,470.0294797518727,497.0274461610487,0.9140411019325256,417.59494967228466,533.0030577013109,0.691200852394104,654.0172928370787,1201.7439138576779,0.3141351044178009,450.5674303604869,788.0866690074906
1,0.6992233360514921,0.9315534830093384,532.4635709269663,1483.5012874531835,0.9027683734893799,516.5639630149813,1520.8956577715355,0.9175904989242554,537.5800269194757,1521.9958450374531,0.7340638637542725,479.06901041666674,1498.6910404962548,0.7949634790420532,508.0856448970038,1490.1449847846443,0.2541895806789398,391.87968164794006,1231.0077247191011,0.40503057837486267,481.8778528792135,1193.256890800562,0.2551104426383972,381.56103698501875,581.5926015332398,0.9757974147796631,290.8891473548689,896.1495640215356,0.9958515167236328,668.9981273408241,1195.1548601357679,0.8463788032531738,484.08539618445695,784.1593515917604,0.4570620059967041,713.8138606039327,1156.996722846442,0.5693885684013367,591.4715004681648,466.62241046348316,0.7838147878646851,820.9427668539327,909.8861042837079,0.8762924075126648,410.7959533005618,523.9017878043071,0.8288823366165161,653.9907391151685,1194.4658532303372,0.3580585718154907,441.76951661985026,791.6103405898876
2,0.6963949361268211,0.8933877944946289,465.863910346442,1500.3126463014983,0.8490955829620361,511.785317181648,1523.3838073501872,0.9086204767227173,546.7592755149813,1519.1780781835207,0.8917704820632935,469.80102996254686,1496.0263050093633,0.7335663437843323,508.7625087780899,1486.4371196161048,0.07482436299324036,449.8795207162922,1215.6849836142324,0.23587507009506226,509.4826047518727,1181.1698267790262,0.3848712146282196,436.53280079588023,542.9885738529963,0.9623303413391113,287.73773993445695,898.1901041666667,0.9964059591293335,665.1937031835207,1198.2507461376406,0.9182226657867432,482.6351094335206,784.0886148174158,0.49934038519859314,706.1071365870787,1146.0470798220974,0.6970701217651367,601.7261382256555,471.45277387640454,0.8006977438926697,462.2275134597379,502.46803312265916,0.833838164806366,359.86979166666674,528.1857882724719,0.8512046337127686,643.117026568352,1207.7639279026218,0.30759257078170776,446.4328037219101,791.4352176966293
3,0.6987960601554197,0.8676077127456665,526.7442064606741,1483.0865227059926,0.8485919237136841,510.8909761235956,1519.637025983146,0.9136229753494263,637.5390625,1515.3673630617977,0.8387724161148071,468.79403675093636,1493.2999765917602,0.6502071022987366,511.2235194288389,1486.8492509363296,0.17576292157173157,459.1421611657304,1214.5891122425094,0.32031238079071045,508.65629389044943,1167.1098870552435,0.35250627994537354,384.57038565074913,558.1883485486892,0.9722053408622742,286.22388518258424,900.1225275046817,0.995807409286499,663.3552054073034,1198.1145394428838,0.9202480316162109,480.02296933520597,785.2762903792135,0.5436557531356812,706.2242509363296,1151.8712693117977,0.6503242254257202,615.4595330056179,480.0284190660112,0.7583914995193481,820.4200316011236,911.5754476825844,0.8779208064079285,359.0859082397004,526.5145496839888,0.8556386828422546,642.2090794709738,1206.592418656367,0.33795756101608276,448.5633924391386,791.6021477059926
4,0.7175045153673958,0.8398352861404419,529.6675298455057,1482.6043129681648,0.8720479011535645,511.42790262172286,1517.5147764513108,0.9357033967971802,634.9993416432585,1512.8310802902622,0.8760020732879639,466.9201340121723,1489.0112944756554,0.7013460397720337,510.3115490402622,1492.8211317883895,0.2540918290615082,456.23536985018734,1223.7023788623596,0.2869216203689575,507.7432262406368,1188.6472963483147,0.4587668180465698,389.45934281367045,559.9015390917604,0.9783719778060913,288.5655138108615,903.7394662921348,0.9959321022033691,662.478201076779,1198.1733526451312,0.9158377647399902,478.3106566011236,784.188831343633,0.503629744052887,704.3233555711611,1149.6022062265918,0.5901942253112793,611.8310363998128,479.69254740168543,0.8921332955360413,403.89461903089887,519.2195912336142,0.8471578359603882,423.3059749531835,544.0910287921348,0.8571468591690063,639.9267761001872,1213.4496430243446,0.3924579918384552,449.58260182584274,791.2976211376405
5,0.718533407239353,0.8871442079544067,525.5334884129214,1480.3660463483147,0.9085080623626709,510.2100889513109,1517.333362593633,0.8887770175933838,631.4155401451312,1505.7683754681648,0.7596209049224854,466.86688026685397,1485.9824145599252,0.7562592029571533,508.8407069288389,1490.6779611423221,0.18631282448768616,457.60870201310865,1244.8749122191011,0.3852553069591522,505.1123595505618,1188.1266824672284,0.354436457157135,386.0472261235956,551.4630881320224,0.9656845331192017,287.5111920646068,902.4590355805244,0.9966274499893188,664.4536370552435,1194.4560510299625,0.9152319431304932,473.8093252574906,784.0537219101124,0.5113398432731628,702.4226065074906,1139.7304394897003,0.7503784894943237,615.2509802200375,472.8546348314607,0.8630106449127197,392.4359199438203,519.6169826779027,0.8452333211898804,408.4486189138577,541.5156103698502,0.8377069234848022,636.9791666666667,1220.7251433754682,0.40354079008102417,449.5191069756554,794.7967872191011
6,0.6844170338967267,0.6365506649017334,455.9080202481274,1498.1023232677903,0.8262648582458496,526.0804365636704,1498.8456811797753,0.9355313777923584,639.0783005617977,1506.6706168071162,0.5202586650848389,473.8873039559926,1499.1631554307116,0.8334770798683167,496.6216789559926,1491.7883895131088,0.1254412829875946,494.1466965121723,1182.7340092462548,0.3106142580509186,499.23842755149815,1187.908839536517,0.42128634452819824,385.2766561329588,543.5624414794007,0.9615800976753235,286.27582221441946,902.142731741573,0.99753737449646,666.0197945926966,1195.4716760299625,0.9071590304374695,475.0740285580524,784.3924098782771,0.49754518270492554,700.8166549625469,1138.6320078417602,0.6584606766700745,617.1895482209738,469.45787979868913,0.7943006157875061,830.4892322097378,903.370859667603,0.882327675819397,404.5763840121723,543.4214799859551,0.826015830039978,646.666959269663,1208.405386821161,0.5007385611534119,444.121020599251,786.1547577247192
7,0.6440140008926392,0.44337624311447144,459.7176381086142,1494.9125117041199,0.5852325558662415,523.9289998829588,1481.86797752809,0.8895531892776489,630.1777563202247,1509.8763752340824,0.5569835901260376,489.6078388342697,1470.3051849250937,0.7769829034805298,488.84560802902627,1488.5255735018727,0.22932696342468262,472.6140420177903,1180.628511235955,0.13322782516479492,451.3072770365169,1178.5917017790262,0.4870035648345947,381.8654172518727,550.8117538623595,0.977515459060669,290.38053019662925,899.4011148174158,0.9979627132415771,666.7028031367042,1197.2263430477528,0.9259480237960815,475.3102323267791,784.4994294241574,0.6045249700546265,702.1981800093633,1148.366251170412,0.4847949147224426,617.9810393258426,489.03985984316483,0.7963477969169617,830.3764337546818,899.0565016385768,0.8331760764122009,403.021637991573,543.405789150281,0.8135497570037842,650.8756144662921,1232.979137406367,0.41273146867752075,443.75299918071164,787.1981800093633
8,0.6302645066205192,0.8235722780227661,467.0085001170412,1501.94142088015,0.5084989666938782,478.07452598314615,1528.3217755149813,0.7585803866386414,574.5686300327716,1511.6815894194758,0.47830259799957275,478.03107443820227,1489.729927434457,0.6724088788032532,500.24863939606746,1494.6134714419477,0.19124945998191833,456.5753745318352,1185.5580670646068,0.1630135178565979,432.5943644662922,862.3970768960675,0.4289645254611969,382.2806940543071,545.7542573735956,0.9764772653579712,289.3583947799626,902.644692181648,0.9984729886054993,670.9812441479401,1193.045850889513,0.9076014757156372,476.49088541666674,783.9100538389513,0.5918304920196533,702.7258895131085,1143.8990080758426,0.403109073638916,616.802580758427,487.2209298923221,0.7669271230697632,832.4689840823971,898.9527007256555,0.850143551826477,435.8843925561798,529.2438772823034,0.7750501036643982,651.4052258895131,1229.3975304307116,0.420293927192688,443.185788272472,785.4930360486892
9,0.697922920479494,0.9272950887680054,473.6168656367041,1488.571658473783,0.8208305239677429,497.49919534176036,1498.1735720973784,0.9446338415145874,603.2542573735956,1509.0883953651685,0.6338225603103638,477.9620201310862,1510.1846324906367,0.6188302040100098,497.15114407771534,1498.7950608614233,0.26968032121658325,461.75159468632967,1307.3395072565543,0.3208022117614746,621.070780664794,1394.7006671348315,0.6201244592666626,387.69706811797755,553.6340926381087,0.9769343733787537,285.1354751872659,900.331958099251,0.9977869987487793,676.3228581460673,1191.479766502809,0.86784827709198,481.85546875,783.2658883426967,0.35444384813308716,705.7205348782772,1131.924376755618,0.5183670520782471,618.0137377106741,479.9738120318352,0.7805545926094055,832.7931882022472,900.3942825374533,0.9155219793319702,434.56343632958806,535.0582279962547,0.9092745780944824,654.816245318352,1230.5313670411986,0.3879387378692627,441.9063085205993,787.9289559925094
10,0.6316677437109106,0.5984001755714417,469.44207923689146,1486.769224016854,0.758261501789093,528.0498010299626,1496.0279143258429,0.6861565709114075,560.9318673923221,1516.7330875468165,0.5543723702430725,488.4054599719101,1497.4442591292136,0.4973592758178711,500.1632724719101,1494.7199789325844,0.10915720462799072,510.7511118913858,1171.826647354869,0.3064504861831665,596.7932906132959,1415.9578359082398,0.4677313566207886,385.1136031132959,555.0483160697565,0.9780350923538208,284.7101767322098,904.1449408941947,0.99751216173172,675.4730658941949,1192.523042485955,0.897851824760437,485.24761528558054,784.9008807350187,0.43763697147369385,716.1592930711611,1165.326325491573,0.47324028611183167,610.1269897003747,493.6246196161049,0.7657160758972168,831.0406425561798,902.5391356507491,0.8991061449050903,444.78522940074913,540.8514015683521,0.8872454166412354,661.3235896535582,1220.363120318352,0.4241187274456024,442.0251053370787,790.1438875234082
11,0.6884294415221495,0.8871397972106934,480.2419826779027,1483.0787687265918,0.733712911605835,545.6416052200375,1503.2272647471912,0.9492696523666382,609.4808491338952,1528.2120493913858,0.8207885026931763,492.3401656132959,1500.9193586142324,0.6000038385391235,547.4722027153558,1493.3621547284645,0.14931780099868774,441.7465472846442,1372.553985252809,0.3902776539325714,636.0086756788389,1416.7096793071162,0.337344229221344,390.99814197097385,621.1296670177903,0.971745491027832,286.06822038857683,900.440074906367,0.998656153678894,678.3162160580525,1190.9873888108614,0.9200729131698608,480.63055945692884,781.4524812734082,0.6663191318511963,721.2919885299625,1165.9173835440076,0.6764105558395386,603.2756173923221,465.9252472495319,0.7943835258483887,433.9159058988764,494.87677756320227,0.8703414797782898,447.5239934456929,519.4303019662922,0.6454721689224243,660.0349660580525,1222.4830290262173,0.2920446991920471,451.09806589419475,787.420704588015
12,0.7155355442972744,0.9646538496017456,518.9360223548689,1478.6900163857679,0.7280316352844238,550.582499414794,1514.0420177902622,0.9545652866363525,626.5414325842696,1510.8206051029963,0.8581677079200745,497.3732297518727,1488.7207397003747,0.651515543460846,512.8180594569288,1491.78048923221,0.32911914587020874,451.4769136235956,1370.0497425093633,0.3270404040813446,688.3291637406367,1402.9574847846443,0.5138459801673889,400.8448911516854,633.6054541198503,0.9544082880020142,289.3890449438203,902.1245903558053,0.9976139664649963,677.7535404962548,1194.333523525281,0.8679490089416504,481.2079383192885,783.7976942883895,0.5027960538864136,724.5338102762173,1160.8990227059926,0.6517460942268372,609.6561914794008,480.51081168071164,0.8116291761398315,403.1470183754682,523.1349485018727,0.8789454698562622,446.79899637172286,528.0449365051498,0.7869812250137329,661.8627838249065,1214.5556823501872,0.38509541749954224,436.84157010767797,787.7118445692884
13,0.7078572862288531,0.8454020023345947,491.99562558520597,1492.3754974250937,0.7206394076347351,516.4154669943821,1523.1175386235955,0.8920987248420715,624.3739027387642,1502.415145131086,0.6903080940246582,468.9881788389513,1509.7392907303372,0.37678271532058716,530.4765771301498,1489.1938787453184,0.5025268197059631,440.5162248361423,1359.68281835206,0.8928484916687012,445.4626053370787,951.4066889044944,0.4638676345348358,394.5015507958801,534.7807672050562,0.938822865486145,286.8878745318352,902.8776041666667,0.9980731010437012,676.0562236657304,1196.87265917603,0.8657397031784058,489.95698735955057,783.1656718164794,0.6448817253112793,729.903441011236,1160.3999882958801,0.49791958928108215,605.7380179073034,482.27963336844573,0.8342859745025635,428.8971793071162,497.6422050561798,0.8749963045120239,482.8070868445693,508.135936036985,0.7299219369888306,663.1957367743446,1212.7379593867042,0.2644587755203247,489.090004681648,778.097422167603
