Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y,type
0,0.6043108596521265,0.5124361515045166,463.96023525280907,1482.1882315074906,0.6565844416618347,421.91808579119856,1504.9913682116105,0.8140674829483032,492.59531542602997,1501.786341292135,0.6326863765716553,362.79121313202245,1478.0209796348315,0.6737750172615051,608.7502926029963,1478.8974719101125,0.45122087001800537,321.5528441011236,63.14958322360721,0.3585065007209778,451.517731741573,-12.851041300912922,0.4487003684043884,510.43173572097385,135.82990439197098,0.9835028648376465,200.04118387172286,867.0026480571162,0.9994411468505859,618.5851913623596,946.8487388810862,0.8606071472167969,124.41234345739701,467.95455875468167,0.5617552995681763,538.9941772003746,426.741719335206,0.2757398188114166,288.9356566011236,525.7619747776217,0.6855478286743164,730.4718954822097,1143.5513225655432,0.5713915824890137,755.4293217462548,743.462737008427,0.3116338849067688,334.0800561797753,9.506154721149345,0.47568783164024353,300.2641473548689,-15.711240161224252,ONE
1,0.6195422603803522,0.7816702127456665,463.6846763810862,1431.8293539325844,0.44236457347869873,434.3176498127341,1510.519370318352,0.8099870681762695,483.8446570692885,1499.0704002808989,0.5977693796157837,352.9979371488764,1502.1443410580525,0.3899305760860443,615.8410873127341,1470.4288096910113,0.6062185168266296,306.4578212780899,34.89245011118914,0.560693621635437,602.4386996722847,1282.5706636235955,0.5519134402275085,175.3765069054307,814.9900514981274,0.9821247458457947,189.05478259597385,794.3214536516854,0.9980535507202148,634.3008982911986,946.9314723782771,0.8147486448287964,122.83821248829588,464.4348007373596,0.6154234409332275,433.3230922284645,473.54751872659176,0.38818904757499695,292.1744060159176,640.3522940074906,0.5284910798072815,726.5987827715355,1148.9090297284645,0.5508308410644531,343.1102235486892,258.0549581577715,0.3345046937465668,352.1301498127341,-3.825157822741105,0.5793049931526184,309.5982560861423,-4.2970973096983265,ONE
2,0.6025106258252088,0.8570296764373779,450.19714126872657,1434.7144194756554,0.5958101153373718,435.70926966292143,1506.87265917603,0.7871699333190918,484.154377340824,1499.231331928839,0.4193631708621979,367.8355424859551,1479.6175678838952,0.3182681202888489,620.3086961610488,1471.0462020131088,0.7822985649108887,300.57357502340824,33.23625771740403,0.7694154977798462,316.4655021067416,28.059708384538858,0.5154442191123962,178.17338922050567,821.943981156367,0.9805037379264832,190.27285229400752,814.9251667837079,0.9980084896087646,633.6671202013108,947.5883661048689,0.779921293258667,122.48105395599248,462.68360838014985,0.5007613897323608,555.5474602059926,412.21028645833337,0.39419177174568176,304.98632080992513,767.5306501638577,0.3674226999282837,729.3187470739701,1159.327671465356,0.5619068145751953,752.142585440075,743.7107180477528,0.22046977281570435,353.5070663623595,-5.1525787467813675,0.39469537138938904,306.61451018258424,-8.915396129593868,ONE
3,0.6241738901418799,0.8789877891540527,463.9129067181648,1432.9051088483147,0.5755071640014648,430.2513459737828,1517.8879915730338,0.8539290428161621,485.0296992041199,1511.2753101591761,0.7131065130233765,351.56645014044943,1497.4686914794008,0.49750304222106934,617.3618913857679,1476.2284936797753,0.7453234195709229,305.76310861423224,32.40145222524579,0.8421016931533813,317.73927610018734,29.083672569932116,0.40323173999786377,178.3400266268727,824.3214536516854,0.9864578247070312,199.36139396067415,839.3681238295881,0.9979175329208374,634.785009948502,948.3750292602997,0.8516503572463989,121.42501316713481,465.82667661516854,0.49534961581230164,608.864919826779,1008.9335352294008,0.2970225214958191,347.2940074906368,599.8114905196629,0.28505414724349976,748.6574643024344,752.2001550795881,0.6672179102897644,750.7621576544943,745.7187792602997,0.1760602593421936,354.6240051498128,-3.894545880149813,0.34453555941581726,306.05673572097385,-8.647088897362185,ONE
4,0.5902121084577897,0.905312180519104,468.5409351591761,1425.6381671348315,0.48164862394332886,432.6768053604869,1514.001492275281,0.832514762878418,489.97425093632967,1506.0045060861423,0.4939415752887726,356.65459679307116,1491.9973080524346,0.47407227754592896,621.333684456929,1481.4931530898878,0.6268877983093262,329.6967169943821,26.70633723226826,0.588434636592865,314.5283239700375,28.062483541081463,0.45536497235298157,178.59426205524346,823.1729137406368,0.9781484007835388,198.53157186329588,835.5473870552435,0.9982538819313049,632.9377340823971,948.3654465121723,0.8608128428459167,123.7336873829588,469.3398144897004,0.46205663681030273,603.7395394428839,1021.857736423221,0.27341294288635254,296.4383631788389,644.80702832397,0.32622411847114563,717.0838453885767,1151.948662804307,0.7361693382263184,334.9349689840824,263.3858372834738,0.23010927438735962,352.55859375,8.633859470095974,0.31024158000946045,308.18944580992513,-0.25335524412576627,ONE
5,0.598296055022408,0.8016661405563354,470.4063524110487,1421.1456870318352,0.647517740726471,440.9838775749064,1508.0505325374531,0.8181267976760864,508.548835440075,1508.4600304307116,0.4206835627555847,374.0382139513109,1482.3131729868915,0.5482209324836731,618.6313494850187,1474.608204588015,0.6242884993553162,332.70474894662925,26.702085344978933,0.6118987202644348,350.30269779962555,78.06311446629213,0.4991324245929718,178.79410990168537,822.6807555009364,0.9881352186203003,195.7114641853933,828.8854020365169,0.9985359907150269,634.2199935627341,946.7252604166667,0.8510814905166626,124.36413711376406,469.3466175093633,0.37532368302345276,451.04269077715355,432.49736657303373,0.42409664392471313,509.43469101123594,470.6095651919476,0.45447808504104614,720.8636908941949,1151.7449379681648,0.7333683371543884,363.23370201310865,238.65748259012173,0.14772334694862366,351.5473577949439,8.223899812734082,0.2267553210258484,305.4667749297753,-5.487595461727528,ONE
6,0.5985498375752393,0.7452341914176941,476.470549508427,1420.4277855805244,0.4290142357349396,438.37042076310865,1502.3280957397005,0.8560785055160522,511.4926410346442,1507.9336376404494,0.46671563386917114,377.3280225889513,1475.985633192884,0.42336568236351013,604.6635797050562,1475.9216994382023,0.5729184746742249,300.4844774110487,32.9734385058228,0.6656389832496643,340.8323823735956,81.61846032303372,0.5778206586837769,178.59331109550567,817.1567035346442,0.9878494739532471,191.05454119850185,809.6409029728464,0.9988347887992859,633.1636967462548,949.6223226825844,0.8923582434654236,124.29713102762173,469.3509334035581,0.4050922095775604,599.0623536985019,1029.8288272471912,0.496107280254364,293.8626521535581,671.5824701544944,0.6269864439964294,726.9812148876406,1149.9766649110488,0.706817090511322,367.33555711610495,243.5134304775281,0.16972139477729797,351.81684515449444,28.545881978581463,0.15479394793510437,318.0944961376405,0.1899564935919944,ONE
7,0.5813629802535561,0.7023354768753052,471.6595710440075,1422.5579353932585,0.45414870977401733,439.0387260065544,1503.826808286517,0.8161308765411377,507.3188055945693,1505.4669943820224,0.45636478066444397,358.46127399344573,1489.4629272003747,0.46078407764434814,607.2013986423221,1477.9592404026218,0.40656375885009766,306.69921875,54.46803860896536,0.6018216013908386,348.0052522237828,81.26325857326779,0.4943150579929352,176.9812880383895,821.3155430711611,0.9907150864601135,192.22118591994388,820.0706636235956,0.9992383718490601,630.5403645833333,951.5481624531835,0.8858107924461365,124.81982970505624,468.9248668656367,0.4833841323852539,486.27187207397003,460.10672694288394,0.36541974544525146,495.38279786985026,459.24208508895134,0.7352290153503418,738.5531513342696,1143.723519428839,0.6321333050727844,337.01442532771534,261.99727147705994,0.168222576379776,350.85059691011236,17.949328476123597,0.2305532991886139,311.04934749531833,-8.549146330758427,ONE
8,0.6006587498328265,0.766628086566925,470.79675795880155,1420.1865344101125,0.36849260330200195,439.87205933988764,1500.2800210674159,0.8116693496704102,508.8917661516854,1502.0420763108614,0.5036309361457825,356.11379330524346,1488.6579763576779,0.5674548745155334,609.4764600889514,1477.8236189138577,0.40425869822502136,314.44493211610484,59.2219960644897,0.47048336267471313,338.2374327013109,79.37726767322097,0.3560221791267395,178.02642936563677,823.6809456928839,0.9879897236824036,194.12306882022472,829.0507958801498,0.9990900158882141,629.1620581694756,951.2209591526217,0.8505083322525024,123.50256759129218,469.42858292368913,0.6721491813659668,573.2933198735956,403.5306574789326,0.5064352750778198,462.5630559456929,460.70546582397003,0.8371820449829102,745.4148378979401,1142.0803341526218,0.6653780937194824,744.662116690075,739.7765244616105,0.1794126033782959,329.5834796348315,17.58659219920412,0.26441338658332825,302.466716409176,-9.378383222144196,ONE
9,0.6200011004419888,0.833115816116333,462.59363295880155,1419.6346851591761,0.5665866732597351,433.62725304307116,1506.7857560861423,0.849824845790863,484.2274549391386,1497.023203417603,0.5103968977928162,351.1905284410112,1486.75547167603,0.5293751955032349,609.4075520833333,1470.1931179775281,0.43561357259750366,355.1568352059925,79.76902650983146,0.4400653541088104,335.91555477528095,81.85547789384364,0.4202190339565277,175.92400368679773,822.6689050795881,0.9806789755821228,189.4921875,818.8798425795881,0.9990624189376831,628.2924420646068,948.4712956460675,0.83477783203125,123.92695166198507,470.5402914325843,0.6617987751960754,517.2149315308989,446.3581168071161,0.47320470213890076,312.081797167603,808.1356068586142,0.7412760257720947,734.8662072799625,1141.3148847144196,0.7123661637306213,745.5510445926966,739.6432437968165,0.19892561435699463,351.0380091292135,42.04105677229635,0.35273081064224243,307.28881378745325,-8.649319995208627,ONE
